Country,Tekst,Skoor,Tekst2,Skoor2,Tekst3,Skoor3
afghanistan,"The Taliban overthrew an elected government in 2021; that September, the Taliban declared the formation of the Islamic Emirate of Afghanistan (IEA) and installed an unelected cabinet. Mohammad Hasan Akhund, the head of the movement’s Rehbari Shura (Leadership Council), was named prime minister and remained in that post as of the end of 2022. Haibatullah Akhundzada, the movement’s leader, was named the IEA’s supreme leader, or amir. Akhundzada exercised unfettered powers to rule by decree and make all appointments to state bodies.",0,"No legislative assembly or representative body operates in the IEA. Akhundzada’s decrees and orders from ministers have taken the place of legislation and regulation. A bicameral National Assembly existed under the 2004 constitution. The last assembly was constituted after elections in 2018 but many of its members went into exile after the republic fell.In March 2022, the Taliban allowed residents in Kabul to vote for local representatives to liaise with the authorities.",0,"Under the republic, elections were administered by the Independent Election Commission and disputes adjudicated by the Electoral Complaints Commission. Both were abolished in late 2021. Besides the March 2022 polls in Kabul, there is no provision for elections in the IEA.In 2021, the Taliban announced that they would enforce parts of the 1964 constitution that did not contradict their interpretation of Sharia, rejecting the 2004 constitution used by the republic. In September 2022, Deputy Justice Minister Abdul Karim Haider said the country did not need a constitution, and instead need only rely on the Quran, the sunnah of the prophet Muhammad—referring to a collection of social and legal customs that informs Sharia—and Islamic jurisprudence.",0
albania,"The president is the head of state and is elected by the parliament for a maximum of two five-year terms; the office does not hold executive power, though the president has some authority over the judiciary and the armed forces. The prime minister is the head of government and is designated by the majority party or coalition. Because both the president and prime minister are selected by lawmakers, their legitimacy is generally dependent on the conduct of parliamentary elections. In June 2022, the parliament elected defense chief Bajram Begaj to succeed Ilir Meta as president. Meta had been impeached by lawmakers in 2021 over his conduct during that year’s electoral period, but the Constitutional Court overruled the parliament in February 2022, allowing him to complete his term. The PD boycotted the vote, with opposition lawmakers voicing concerns over whether his status as a military officer made his selection unconstitutional. Begaj took office in late July. Socialist Party (PS) leader Edi Rama began his third term as prime minister following the April 2021 parliamentary elections.",3,"The unicameral, 140-member Kuvendi (Assembly) is elected through proportional representation in 12 regional districts of varying size corresponding to administrative regions. All members serve four-year terms.The ruling PS maintained its parliamentary majority in the April 2021 polls, winning 49 percent of the vote and 74 seats. The PD won 39 percent of the vote and 59 seats, while the Freedom Party (then known as the Socialist Movement of Integration) took 4 seats. Turnout stood at 46.3 percent.The elections were administered under reforms adopted in 2020, ensuring the participation of opposition parties including the PD, which had boycotted previous polls. International observers called the elections well-organized and competitive. However, the elections were also marred by irregularities, including allegations of widespread vote buying, the misuse of administrative resources by the PS, and media bias that allowed the PS to “derive significant advantage from its incumbency.” Despite such flaws, the results were widely accepted by stakeholders.",3,"The Central Election Commission (CEC) administers polls. In 2020, the parliament established the Political Council, comprised of representatives of the three largest parties, to address electoral reforms recommended by the Organization for Security and Co-operation in Europe. The parliament adopted several provisions of the Council’s plan to gradually depoliticize election administration, introduce electronic identification of voters where technically possible, and restructure the CEC, among other changes. The CEC received additional responsibilities via these reforms.The April 2021 elections were administered by the newly restructured CEC and were the first polls conducted after reforms were adopted in 2020. Despite concerns about the CEC’s ability to manage the polls after the parliament’s “extremely hasty” adoption of the electoral amendments, international observers reported that the elections proceeded smoothly and were competently and transparently administered.",3
algeria,"The president, who is directly elected for five-year terms, remains the dominant figure in the executive branch, though some authority was shifted to the prime minister under constitutional reforms adopted in 2020.A two-term limit has been in effect since 2016, but it did not apply to the prior terms of longtime president Abdelaziz Bouteflika, whose plans to seek a fifth consecutive term sparked the Hirak protests in 2019. Bouteflika resigned that April after losing the support of the armed forces.Former prime minister Abdelmajid Tebboune won the December 2019 presidential election with 58 percent of the vote. Abdelaziz Belaïd of the Future Front, the only candidate who had not served in cabinet posts under Bouteflika, won 7 percent. Voter turnout was reportedly as low as 20 percent. Protesters called the election a sham and orchestrated a boycott. Outside observers were not allowed to enter the country to monitor the poll.The president nominates the prime minister after consulting with the parliamentary majority. Tebboune appointed then finance minister Ayman Benabderrahmane as prime minister in 2021.",1,"The 407 members of the National People’s Assembly, the lower house of Parliament, are directly elected to five-year terms, which can only be renewed once under the 2020 constitutional reforms. In early elections held in 2021, the ruling FLN won 98 seats, while the allied National Democratic Rally (RND) took 58. The Islamist Movement of Society for Peace (MSP) won 65 seats, the Future Front captured 48, and the moderate Islamist National Construction Movement (El-Binaa) took 39. No other party won more than 10 seats, though 84 independent lawmakers were elected. The MSP and El-Binaa alleged that the elections were marred by fraud, while Hirak supporters boycotted the polls. Nationwide turnout stood at 23 percent. The Independent National Authority for Elections (ANIE) reported that over 360 polling facilities were shuttered due to looting and other disruptions.The president appoints one-third of the members of the upper house, the Council of the Nation, which has 144 members serving six-year terms. The other two-thirds are indirectly elected by local and provincial assemblies. Half of the chamber’s mandates are renewed every three years. Partial upper house elections took place in February 2022. The FLN took the most seats, securing 25, while independents took 14, RND took 11, and the Future Front and the Socialist Forces Front (FFS) took 5 and 2 seats, respectively. Local and regional elections were held amid low turnout in 2021. The FLN and RND won the most town council seats and a plurality of regional assembly seats.",1,"Prior to 2019, Algeria’s elections were administered by the Interior Ministry and were often subject to government interference. Pressure from protesters ultimately forced the government to establish the ANIE. However, the slate of approved presidential candidates that was announced ahead of the 2019 presidential election was dominated by Bouteflika-era officials, raising doubts about the efficacy of the electoral reforms. The absence of international election monitors drew criticism from Algerian civil society.Constitutional reforms were adopted through a 2020 referendum that was marred by low voter turnout. Reform-package opponents, including Hirak activists, had called for a boycott after being prevented from campaigning or airing their views on state media.",1
andorra,"Andorra has a parliamentary system, with a prime minister elected by and accountable to the legislature. The legitimacy of the prime minister, usually the head of the party with the most seats, rests largely on the conduct of parliamentary elections, which have historically been competitive and credible. Xavier Espot Zamora, the new leader of the ruling Democrats for Andorra (DA) party, became prime minister in 2019 following that year’s elections. Two “co-princes,” the French president and the Roman Catholic bishop of La Seu d’Urgell, Spain, serve jointly as Andorra’s ceremonial heads of state.",4,"Members of the unicameral, 28-member Consell General are directly elected every four years through a mixed voting system. In the 2019 elections, the DA led with 11 seats, followed by the Social Democratic Party (PS) with 7, the Liberals of Andorra (LA) and the new conservative party Third Way (TV) with 4 each, and the new social-liberal party Committed Citizens (CC) with 2. The LA and CC joined the DA in a governing coalition. The polls were considered competitive, credible, and well-administered.",4,"The Electoral Law, which was last changed in 2014 to introduce regulations on campaign finance, provides a sound framework for free and fair elections. The Electoral Board supervises elections impartially. However, the law does not provide a formal role for international or citizen observers.",4
angola,"There is no separate election for the president, either by voters or by the legislature. Under the 2010 constitution, the head of the national list of the political party that receives the most votes in legislative elections automatically becomes president, without any parliamentary confirmation process. Despite this lack of an individual mandate, the constitution permits the president to unilaterally appoint and dismiss the vice president, cabinet, and provincial governors, among other important powers. The president may serve up to two five-year terms.The intraparty procedures for choosing presidential candidates are not competitive. At a December 2021 congress of the ruling Popular Movement for the Liberation of Angola (MPLA), incumbent president João Lourenço was confirmed as the head of the party’s 2022 electoral list, receiving 98 percent of the votes from party delegates; there were no other nominees. He then secured a new presidential term after the MPLA won the August 2022 parliamentary elections. Lourenço had similarly faced no opponents at a 2016 party congress that set the stage for his first presidential term.",0,"Members of the 220-seat, unicameral National Assembly are elected to five-year terms by proportional representation.In the August 2022 elections, the MPLA won 51.2 percent of the vote and 124 seats, while the opposition National Union for the Total Independence of Angola (UNITA) and its coalition took 44.0 percent and 90 seats. Three smaller parties won the remainder.The African Union Election Observation Mission reported that the elections were generally peaceful, but noted limits on the right of access to information and freedom of the press as well as reports of an uneven playing field. Civil society organizations found that biased progovernment media, deficiencies in voter registration processes, and the MPLA’s use of public resources in its campaign disadvantaged the opposition. The observation mission of the Community of Portuguese-Speaking Countries, while praising some aspects of the process, pointed to the fact that voter lists contained many deceased individuals.A legal complaint in which UNITA and other opposition parties challenged the election results was rejected by the MPLA-controlled Constitutional Court in September. Opposition lawmakers took up their seats in the National Assembly but vowed to continue questioning the results.",2,"The law states that the makeup of the National Election Commission (CNE) should reflect the disposition of power in the National Assembly, which gives an advantage to the MPLA. Voter registration is carried out by the government through its Ministry of Territorial Administration. Ahead of the 2022 elections, the voter list was audited to assess its integrity, but stakeholders raised concerns about a lack of transparency in the audit firm’s appointment and findings. The CNE is legally required to disclose voter lists for each polling station at least 30 days prior to election day, but it failed to comply with this provision in 2022.Articles 11 and 27 of the Law on Elections Observation empowered the CNE to limit the number of national and international observers, and it set a ceiling of 2,000 national observers for the 2022 elections, further undermining electoral transparency.A joint statement signed by civil society groups and delivered to the CNE in August pointed to irregularities in electoral preparations. After the elections, civil society observers also cited failures to display voter lists and publish summary minutes at many polling stations. The final results were reportedly disclosed without prior notification of political parties, in violation of the law; UNITA said it had been excluded from the disclosure process.",1
antigua-and-barbuda,"The country’s 1981 constitution establishes a parliamentary system, with a governor general representing the British monarch as ceremonial head of state. The prime minister is the head of government and is typically the leader of the majority party elected to Parliament. The Antigua and Barbuda Labour Party (ABLP) leader Gaston Browne maintained his position as prime minister after his party won a majority in the 2018 parliamentary elections.",4,"The bicameral parliament is composed of a 17-seat Senate, whose members are appointed by the governor general, and the House of Representatives, whose 17 members are directly elected in single-seat constituencies, by means of a simple majority; representatives serve five-year terms. The governing ABLP took 59 percent of the total vote and won 15 constituencies in the 2018 elections. The main opposition United Progressive Party (UPP) took 37 percent of the vote, but only one constituency. Observers deemed the polls generally competitive and credible. The Barbuda Council also holds regular elections.",4,"Electoral laws are generally fair and are implemented impartially by the relevant election management bodies. However, since 1984, the electoral boundaries of Antigua and Barbuda have shifted only slightly, which has created a significant disparity in the range of constituency sizes: from 1,138 (St. Phillip South) to 4,878 (St. George).",4
argentina,"The constitution provides for a president to be elected for a four-year term, with the option of reelection for one additional term. Presidential candidates must win 45 percent of the vote to avoid a runoff.Center-left candidate Alberto Fernández of the Front for Everyone (FdT) coalition was elected in the first round of elections in October 2019 with 48.2 percent of the vote, defeating incumbent Mauricio Macri of the Together for Change (JxC) bloc, who obtained 40.3 percent. International observers deemed the poll competitive and credible.Fernández’s victory was widely viewed as benefiting from having political veteran and former president Cristina Fernández de Kirchner on his ticket. A member of the populist Peronist movement, she was the subject of multiple allegations of corruption at the time of the election.",4,"The National Congress consists of a lower house, the Chamber of Deputies, and an upper house, the Senate. The Chamber of Deputies has 257 members elected for four-year terms, and the Senate has 72 members elected for six-year terms. Half of all deputies and a third of senators are up for election every two years through a proportional-representation system with closed party lists. Legislative contests are generally deemed free and fair.The FdT did poorly against JxC in the November 2021 legislative elections, marking an end to a decades-long majority for Peronist-led coalitions, although the governing coalition maintained a narrow plurality in both houses. The FdT notably lost ground in Buenos Aires Province, while the left-wing Workers’ Left Front and the far-right Freedom Advances did well nationally.",4,"Argentina has a clear and relatively fair framework for conducting elections. There is universal suffrage: voting is compulsory for people between 18 and 70 years old, and voluntary for people between 16 and 18 or older than 70.However, the system suffers from shortcomings, including the inconsistent enforcement of electoral laws and campaign finance regulations. Additionally, each party must print and distribute its own paper ballots on election day, providing opportunities for abuse and favoring larger parties. Aspects of election management fall under the purview of the executive branch; the National Electoral Chamber (CNE) works in conjunction with the National Electoral Directorate (DNE), a department of the Interior Ministry.",3
armenia,"Constitutional changes in 2015 transformed the country from a semipresidential to a parliamentary republic. The president is chosen by the parliament for a single seven-year term, and most executive power lies with the prime minister, who is chosen by a parliamentary majority. In January 2022, President Armen Sargsyan, who had been elected before the 2018 revolution, resigned. Vahagn Khachaturyan, who was serving as minister of high-tech industry, was elected as president.In June 2021, Nikol Pashinyan’s Civil Contract Party won a majority of seats in snap elections called after Pashinyan resigned as prime minister in April. The party’s electoral victory allowed him to retain his position as prime minister. Though Pashinyan’s win was contested by the opposition, the Constitutional Court upheld the election results, and local and international observers considered the elections to be free and fair, despite some irregularities.",2,"The National Assembly consists of a minimum of 101 members elected for five-year terms under a newly adopted closed-list proportional representation system, simplifying the previous two-tier proportional representation system. Up to four additional seats are reserved for ethnic minority representatives, and further seats can be added to ensure that opposition parties hold at least 30 percent of the seats.In April 2021, Pashinyan resigned as prime minister, triggering snap parliamentary elections that June. Three parties gained seats in the June parliamentary elections, with Pashinyan’s Civil Contract Party winning a stable majority of 71 seats with 53.9 percent of the vote. The new Armenia Alliance, led by former president Robert Kocharyan, gained 29 seats with 21.1 percent of the vote. Another new bloc, the I Have Honor Alliance, founded by former president Serzh Sargsyan (unrelated to Armen Sargsyan), gained 7 seats after receiving 5.2 percent of the vote, though one representative left I Have Honor to become an independent lawmaker in December. Though party alliances are required to meet a 7 percent electoral threshold, the threshold was waived for Sargsyan’s alliance, as Armenian law mandates that legislature must be composed of no fewer than three parties.Local and international observers deemed the elections to be competitive, well-organized, and fairly administered, though there were some irregularities.",2,"Members of the Central Election Commission (CEC) are recommended and then confirmed by the parliament for six-year terms. According to international observers, during the June 2021 elections, the CEC conducted its work in a transparent and efficient manner, meeting all legal deadlines and enjoying a high level of confidence in its capacity to deliver its mandate. In October 2022, Vahagn Hovakimyan, a member of the ruling party, was elected head of CEC, drawing concerns from civil society groups about the independence and neutrality of the CEC.In April 2021, the parliament amended existing electoral laws to reflect recommendations made by the Venice Commission and the Office for Democratic Institutions and Human Rights (ODIHR) within the Organization for Security and Co-operation in Europe (OSCE). The June snap elections were successfully administered under the reformed system, which eliminated territorial lists, simplifying the existing electoral system. The amendments enjoyed broad support by political forces and civil society; further reforms were also adopted in May 2021.",3
australia,"The Australian government is a parliamentary democracy under a constitutional monarchy. The leader of the popularly elected majority party or coalition is designated as prime minister, and serves as head of government. Anthony Albanese, leader of the Labor Party, became prime minister after free and fair federal elections in May 2022. His predecessor, Scott Morrison of the Liberal Party, was the first prime minister to serve an uninterrupted three-year term since 2007. The 2010s saw the premiership frequently switch hands following “leadership coups” in which politicians within the major parties contested the party leadership and, in turn, the office of prime minister. This pattern drew criticism for failing to reflect the will of the electorate, and both Labor and the Liberals have reformed their internal rules to make leadership challenges more difficult.A governor-general, appointed on the recommendation of the prime minister, represents the monarch of the United Kingdom (UK) as head of state. The powers of the monarchy are extremely limited. David Hurley was appointed governor-general in 2019.The September 2022 death of Queen Elizabeth II triggered debate about whether Australia should become a republic. Republican sentiment is divided in Australia, with polls in late 2022 showing between 40 and 46 percent of respondents supporting calls for an Australian head of state. Following the Australian Labor Party’s victory in the 2022 election, the Albanese government created a new post, assistant minister for the republic, fueling speculation that it might push for a referendum on the issue.",4,"The bicameral legislative branch consists of a 151-member House of Representatives and 76-member Senate. Lower house members are elected through a ranked-choice ballot, and serve three-year terms. Senators are elected through a ranked-choice ballot and serve staggered six-year terms. The 2022 federal election saw the Labor Party returned to power after almost a decade in opposition after winning 77 seats in the House of Representatives, enough to form a single-party majority. The previous ruling coalition, composed of longtime partners the Liberal Party and the National Party, won less than 40 percent of seats in the lower house, losing 19 seats in the worst electoral defeat for Australian conservative parties in decades. Several senior Liberal Party figures, most notably Deputy Leader Josh Frydenberg, lost seats traditionally held safely by the party. Scott Morrison kept his seat, but was replaced as party leader soon after the election by Peter Dutton.However, the coalition’s resounding defeat did not translate to a landslide victory for the Labor Party, with Independent candidates and the Greens gaining ground. Six lower house seats were claimed by so-called “teal Independents,” named for the color many of them used for their campaign signs, a loose association of mostly female Independent candidates. Many had no background in politics, but campaigned on transparency and climate and environmental issues. Teal candidates notably won some usually safe Liberal seats. Independent candidates who were not associated with the teal movement won four seats.The Greens, a left-wing party traditionally aligned with Labor, won four seats in the lower house, an increase of three from the 2019 elections, while two minor parties, Centre Alliance and Katter’s Australian Party, won one seat each.Forty seats in the Senate were filled in the same contest. Labor and the Liberal-National coalition each won 15 seats; the Greens won 6; and the remaining seats were divided between Independents and minor parties, with one going to the far-right One Nation Party. Turnout for the election stood at 89.8 percent.On Election Day, the Liberal Party drew criticism for sending an SMS message to millions of voters detailing the interception of a boat carrying asylum seekers travelling to Australia. The SMS message urged voters to “keep our borders secure by voting Liberal today.” Asylum seekers, particularly those arriving unlawfully by boat, are a hot-button issue in Australian politics and the text message was widely viewed as a scare campaign. Correspondence released under freedom of information laws after the election revealed that the Morrison Government had pressured immigration officials to prepare and release a statement about the interception while events were still unfolding, and that officials described the request as “astonishing in form and timing.” and ”unprecedented.”",4,"Australian electoral laws and procedures are generally fair and impartial. The Australian Electoral Commission (AEC)—an independent federal agency—coordinates all federal elections and referendums, draws seat boundaries, and keeps the electoral rolls. Voting is compulsory, and a registered voter’s failure to vote may result in a small fine, which if unpaid can increase and ultimately lead to a criminal conviction.",4
austria,"Executive elections in Austria are generally free and fair. The president is elected for a six-year term and has predominantly ceremonial duties. The president does, however, have the right to dissolve parliament and appoints the chancellor, who also needs the support of the legislature to govern. President Alexander Van der Bellen, former Green Party leader, narrowly prevailed in 2016 against FPÖ candidate Norbert Hofer. The 2016 polls featured a runoff that was repeated twice after the Constitutional Court (VfGH) established that there had been problems with the handling of postal ballots. Van der Bellen was reelected to the presidency in October 2022 after securing an absolute majority of the vote.Following snap elections in 2019, an ÖVP–Green government took office in January 2020, marking the first time the Greens have participated in a national government. Sebastian Kurz of the ÖVP, who led the previous ÖVP–FPÖ coalition, returned as chancellor. Kurz was forced to resign the chancellorship in October 2021 over corruption allegations, and ultimately left politics altogether. After Kurz’s resignation, then foreign minister Alexander Schallenberg was appointed chancellor; Schallenberg resigned several weeks later, in December. In December 2021, ÖVP party officials chose then interior minister Karl Nehammer to become both party leader and chancellor. Nehammer was sworn in as chancellor that month, and was officially confirmed as ÖVP party chair in May 2022.",4,"Legislative elections in Austria are generally considered free and fair. The 183 members of the National Council (Nationalrat), the lower house of the Austrian national parliament, are chosen through proportional representation at the district, state, and federal levels, and serve five-year terms. The 61 members of the upper house, the Federal Council (Bundesrat), are appointed by state legislatures for five- or six-year terms.Snap National Council elections took place in September 2019, after the Ibizagate affair triggered the previous ÖVP–FPÖ coalition’s collapse. The ÖVP was the clear winner with 71 seats, though it did not win a parliamentary majority. The Green Party returned after a two-year absence from parliament, winning 26 seats. Support for the FPÖ collapsed, with the party losing 20 seats and holding 31. The SPÖ won 40, while the Liberal Forum (NEOS) claimed 15.",4,Austria’s electoral laws are fair and implemented impartially by the relevant bodies.,4
