Country,Tekst,Skoor,Tekst2,Skoor2,Tekst3,Skoor3,Tekst4,Skoor4
afghanistan,"Afghanistan is an effective one-party state under the Taliban. Political parties have no legal protection. However, some parties informally operate in Afghanistan; their leaders operate in exile abroad.",0,The government of the IEA is exclusively composed of Taliban members. No other party has a share in or can compete for power. The Taliban tolerate no opposition.,0,"Citizens cannot exercise any meaningful political choice under the Taliban. Policymaking, resource allocation, and the selection of officials all take place opaquely within the structures of the IEA. At most, some Taliban officials in provincial administrations are reportedly open to limited consultation and lobbying by male community representatives.",0,"No group in Afghanistan enjoys political rights or electoral opportunities. Some groups are particularly marginalized and excluded from the limited public debate that does occur. Under the Taliban, women are excluded from any position of official authority and are additionally impacted by restrictions on their movement. A June–July 2022 assembly that included clerics and traditional leaders included no women. Most Taliban members belong to the Pashtun ethnic group, which is believed to represent 42 percent of the Afghan population. Members of that group hold top positions in powerful ministries, though non-Pashtun members of the Taliban hold less powerful posts. LGBT+ people are thoroughly excluded from political participation; the Taliban support the former republic’s criminalization of same-sex relations and reject LGBT+ rights.",0
albania,"Albanian citizens generally have the right to organize in political parties. The two main parties, PS and PD, are sharply polarized and given to personality-driven rivalry. Candidates who do not belong to a party currently seated in the Assembly must collect a set number of signatures to run.In January 2022, PD leader Lulzim Basha expelled former premier Sali Berisha from the party. The decision came after months of internal tension and days after Berisha supporters attempted to storm the party’s headquarters. An intraparty conflict between the two men’s supporters ensued; in March, Basha resigned as party leader, with Berisha succeeding him in May.",3,"In Albania’s multiparty system, opposition parties have the opportunity to participate in the political process and take power via the ballot box.",3,"While individuals are generally free to make their own political choices, powerful economic actors shape Albanian politics through their media holdings and influence on electoral campaigns. Criminal organizations and corrupt actors are also known to exert influence.",3,"Albanian law guarantees political rights for citizens regardless of their ethnic, racial, lingual, or religious identity. However, Roma and other marginalized communities remain vulnerable to political exploitation and have difficulty participating in politics.Women are underrepresented in the Assembly, holding 35.7 percent of its seats. However, a record 12 women were appointed to the 17-member cabinet in September 2021.",3
algeria,"The Interior Ministry must approve political parties before they can operate legally. Parties cannot form along explicitly ethnic lines. The Islamic Salvation Front (FIS), which swept the 1990 local and 1991 national elections that preceded Algeria’s decade-long civil war, remains banned. Since the Hirak emerged in 2019, the authorities have intensified their repression of opposition groups, especially parties espousing separatism, Islamist groups, and parties perceived as closely aligned with the Hirak.In January 2022, the Council of State suspended the opposition Socialist Workers’ Party (PST) for allegedly failing to organize its annual congress within the legally mandated timeframe.In recent years, authorities have increasingly used vaguely worded antiterrorism legislation to prosecute members of the opposition. In 2021, the High Security Council designated the Rachad—an organization that includes former FIS members—and the Movement for the Self-Determination of Kabylie (MAK) as terrorist organizations. Numerous people accused of affiliation with the groups have since faced arrest. In November 2022, exiled MAK leader Ferhat Mehenni was sentenced in absentia to life in prison on terrorism-related charges.",1,"Opposition parties play a marginal role in Parliament, and their campaigns are regularly curtailed by the government. Election boycotts by opposition groups are not uncommon.Opposition leaders have also been subject to detention and prosecution. In January 2022, an Algiers court sentenced Democratic and Social Movement (MDS) leader Fethi Ghares to two years’ imprisonment and a 200,000 dinar ($1,400) fine on charges including “offending public bodies.”",1,"The military retains its long-standing influence over civilian politics. Its vast resources and lack of public accountability have helped shape its role as the most powerful political actor in Algeria.Allegations and scandals involving corruption in the selection of political candidates, as well as vote-buying during elections, have surfaced in recent years. After Bouteflika stepped down in 2019, the authorities initiated an anticorruption campaign targeting entrepreneurs and officials who were accused of exercising improper influence on political decisions under the former administration.",1,"No specific ethnic or religious group dominates the main state institutions, which tend to include both Arab and Amazigh (Berber) officials. Kabylie-based parties associated with the Amazigh community, like the Rally for Culture and Democracy and the FFS, have controlled a small number of municipalities, but their activities are often curtailed by the military. Some Amazigh activists have been targeted by the authorities for mobilizing in support of their political interests.Women remain reluctant to run for office, are often unable to secure meaningful influence within Parliament, and are more likely to lose intraparty debates. Women won only 8 percent of the seats in the 2021 lower house elections.LGBT+ people are politically marginalized and have little practical ability to advocate for their political interests.",1
andorra,"Political parties may form and operate freely, and there are a number of active parties in Andorra. Two new parties, TV and CC, made their debut in the 2019 elections.",4,"The country has experienced multiple democratic transfers of power between rival parties, most recently in 2011, when the DA replaced a government led by the PS. Opposition parties are well represented in the Consell General and deprived the DA of its outright majority in the 2019 elections.",4,Citizens and political figures are generally able to make political choices without undue interference from external forces.,4,"More than 50 percent of the population consists of noncitizens—mostly from nearby states—who do not have the right to vote in national elections or run for elected office. Under Andorra’s restrictive naturalization criteria, one must marry a resident Andorran or live in the country for more than 20 years to qualify for citizenship. Prospective citizens are also required to learn Catalan, the national language.Women are active in politics, and after the 2019 elections they held 50 percent of the seats in the legislature. LGBT+ people are also free to participate in politics, and several parties advocate for their interests.",3
angola,"While there is a multiparty system in place, competition is limited. The process for creating new political parties is fraught with bureaucratic obstacles and attempts at co-optation, factors that severely hinder public confidence in new parties.Citing irregularities in the process, the Constitutional Court in 2020 rejected the legalization of a new opposition party, PRA-JA Servir Angola, led by Abel Chivukuvuku. The decision also placed limits on the ability of Chivukuvuku and the party’s other promoters to attempt to establish a new, different party ahead of the 2022 elections.Separately, the Constitutional Court ruled in October 2021 that the election of Adalberto da Costa Jr. as UNITA party leader in 2019 had been illegal. Delegates at a UNITA party congress in December 2021 then reelected Costa as their leader; he ran unopposed and took more than 96 percent of the votes.",1,"The MPLA has governed without interruption since Angola secured independence in 1975, and the country has never experienced a transfer of power between rival parties. However, opposition parties have been building public support in recent years, and the UNITA-led coalition increased its representation by 39 seats in the 2022 elections; the MPLA lost 26 seats. The authorities have repeatedly postponed plans to hold the country’s first-ever municipal elections, and no such balloting was held during 2022. Some analysts have argued that the administration is reluctant to relinquish its power to appoint subnational officials, as it would risk giving the opposition an opportunity to win office and demonstrate an ability to govern.",1,MPLA-aligned economic oligarchies nurture a system of dependency and patronage that can subvert candidates’ and voters’ ability to freely express their political choices.,1,"While societal pressures can discourage women from active political participation, women’s rights advocates have an increasingly vocal presence in political life. Women held 74 seats in the National Assembly after the 2022 elections, and members elected the body’s first woman speaker in September.Government and state institutions are controlled by the MPLA, which draws much of its support from the Kimbundu ethnic group. The Ovimbundo and Kikongo ethnicities are predominant, respectively, in UNITA and the National Liberation Front of Angola (FNLA).Issues affecting LGBT+ people have historically been excluded from political debate. This changed somewhat with the parliament’s 2019 adoption of a new penal code that decriminalized same-sex relations.",2
antigua-and-barbuda,"Political parties can organize and operate freely. While there are several small political parties in the country, elections have been won by either the ABLP or the UPP since 1994. The first-past-the-post electoral system makes it very difficult for smaller, less well-established parties to gain representation in the House of Representatives.",3,There are realistic opportunities for opposition parties to increase their support or gain power through elections. Power has alternated frequently between the ABLP and UPP.,4,"People’s political choices are generally free from the influence of nondemocratic actors. However, a lack of transparency for party and campaign financing has given rise to concerns about the potential influence of unknown domestic and foreign interests over political candidates. The most significant case was that of R. Allen Stanford, a US citizen who was an influential figure in Antigua, and established a bank in the country from which he ran a multibillion-dollar Ponzi scheme.",3,"Women are underrepresented in politics, and only two women were elected to the House of Representatives in 2018. LGBT+ people are marginalized and face discrimination, impacting their ability to engage fully in political processes.",3
argentina,"Argentina has competitive political parties that operate without undue obstacles. Primary elections are mandatory for presidential and legislative elections, and only party candidates that obtain 1.5 percent of the national vote in primary elections can contest general elections.",4,"Argentina’s multiparty system affords opposition candidates the realistic opportunity to compete for political power. Opposition parties command significant popular support, have a large presence in Congress, and govern several provinces.The 2019 presidential election marked a return of Peronism; former president Macri was the only non-Peronist to complete a presidential term since 1928.",4,"Argentinians’ political choices are generally free from domination by democratically unaccountable groups. However, political choices are influenced by voter intimidation and clientelism, particularly in poorer regions. A failed assassination attempt against Vice President Cristina Fernández de Kirchner in September 2022 drew widespread condemnation across the political spectrum. Some of the vice president’s supporters, however, blamed the opposition for the attack, claiming that opposition politicians have encouraged political violence. Several people, including the gunman, were arrested in connection with the attempt on the vice president’s life; investigations into alleged links between right-wing extremist groups and the attack on Fernández de Kirchner were ongoing at year’s end. At least three people accused of participating in the attack remained in pretrial detention at the end of the year.",4,"All segments of the population have full political rights. However, in practice, poorer Argentinians, ethnic minorities, and Indigenous people have limited access to political power.The government has taken steps to improve women’s presence in politics. All legislative party lists must respect full gender parity by law. After the November 2021 elections, women held 44.8 percent of lower-house seats and 43.1 of upper-house seats. A Ministry of Women, Genders, and Diversity (MMGD), which promotes equality and combats gender-based violence, was formed in 2019. However, men still dominate judicial and political positions at the national and provincial levels. Only 2 of Argentina’s 24 provinces have women governors, and the Supreme Court has no female members. LGBT+ people are well-represented in Argentina and legal protections for LGBT+ people are robust. In 2021, Congress passed a law mandating that 1 percent of public sector jobs be reserved for transgender people.",4
armenia,"Political parties and opposition groups have been able to operate in a much freer environment since 2018. In January 2021, amendments to the Law on Parties took effect, tying public funding of political parties to female and nationwide representation and capping individual donations. An unprecedented number of political entities—22 political parties and 4 alliances—took part in June 2021 snap parliamentary elections.",3,"Before 2018, elections were highly flawed; the Republican Party of Armenia (HHK) had been the main ruling party since 1997, and opposition groups had little chance of winning power. However, the 2018 polls transformed the political landscape, and elections have become significantly more competitive. International and local observers deemed the June 2021 snap elections, which saw two opposition alliances gain parliamentary seats, to be competitive. Following local elections in December 2021, authorities within the Ministry of Justice began prosecuting several opposition-affiliated elected representatives of local government bodies, including various cities’ Councils of Elders. Local human rights advocates claimed the cases against the elected officials were politically motivated and called on the government to enable them to carry out their duties. In September 2022 local elections, the opposition parties won control of 9 out of 18 communities.In July 2022, the vice speaker of Parliament and the chairman of a standing committee—both from the opposition—were forced out of their positions due to absences. In protest, other opposition members resigned from their leadership posts in standing committees. The open posts remained vacant at the end of the year.",3,"In April 2021, the parliament adopted amendments calling for heavier penalties for vote buying, election-related violence, and disrupting the electoral process. They also criminalized the obstruction of pre-election campaign activities.Though the 2021 elections saw a decline in such practices, international observers reported allegations of election disruption, including isolated incidents of vote buying and the misuse of administrative resources.",2,"A system introduced as part of 2015 constitutional reforms mandates the inclusion of up to four members of Parliament representing ethnic minorities; all four must be elected on a party list. In 2021, the Civil Contract Party won three minority seats representing ethnic Russians, Yazidis, and Kurds, while the Armenia Alliance won one seat representing ethnic Assyrians. No openly LGBT+ people have run in elections or been appointed to a public office in Armenia. Women remain underrepresented in politics and government, and most parties do little to address women’s interests aside from meeting the gender quota on candidate lists.",2
australia,"Australians may organize political parties without restrictions. Registration and recognition as a political party requires a party constitution and either one member in Parliament, or at least 500 members on the electoral roll.",4,"Power rotates between parties frequently, traditionally alternating between the Labor Party and the Liberal-National coalition. The Greens and smaller left-leaning parties tend to ally with Labor, while rural-oriented and conservative parties often ally with the Liberals.",4,"Political participation in Australia is largely free from undue domestic influence. The UK’s monarch remains the Australian head of state, but the monarchy’s power is strictly limited by the Australian constitution and legal precedent.On Election Day in 2022, the Morrison government placed pressure on public servants working for Australian Border Force (ABF), part of the country’s immigration apparatus, to hastily release information about the interception of a Sri Lankan asylum seeker boat; the pressure and subsequent release of a Liberal Party SMS message about the situation appeared to be an attempt to influence the election.Concerns about foreign interference in politics, particular from China, have persisted for several years. There have been allegations that Chinese actors, possibly including consular officials, have funded political candidates and parties. The government banned foreign donations to political parties, independent candidates, and other political campaign groups in 2018. Additionally, the Foreign Influence Transparency Scheme, which came into force that year, requires people who engage in political activities, such as lobbying on behalf of a foreign government or other entity, to register publicly.",4,"Political rights and electoral opportunities are granted to all Australians. The interests of women are inadequately represented, but the results of the 2022 election offer cautious optimism that this situation is changing. Following the election, 58 seats, or 38 percent of total seats, in the lower house were held by women, an increase of 10 from the previous parliament, and women made up a majority of the Australian Senate, holding 57 percent of its seats. A notable feature of the 2022 elections was the role played by  female “teal Independent” candidates, who in several cases ousted male incumbents in seats long considered safe.The Labor Party employs an internal quota specifying that 45 percent of its candidates must be women, a quota that will rise to 50 percent by 2025). A majority—52 of 103—of the members of the Labor Party’s federal caucus are women. By contrast, the Liberal Party has long resisted calls to introduce a gender quota system, and Liberal leader Peter Dutton and National Party leader David Littleproud again ruled out introducing quotas in 2022.Women in parliament have reported being intimidated and harassed by their male colleagues. A November 2021 report by Australia’s sex discrimination commissioner,  Kate Jenkins, found that a third of federal political staffers experienced sexual harassment at work. That same year, a series of high-profile sexual assault allegations emerged, corroborating the commissioner’s report and highlighting the misogyny and physical endangerment women in Australian politics face. One of those cases was the alleged 2019 rape of Liberal Party staffer Brittany Higgins by a colleague in the office of the defense minister at the time, Linda Reynolds, in 2019. Higgins accused the Liberal Party of covering up the story and leaking her personal information to journalists in an attempt to undermine her credibility. Higgins’s alleged rapist, Bruce Lehrmann, was charged but, in October 2022, his trial before the Supreme Court of the Australian Capital Territory was aborted due to juror misconduct. A retrial, scheduled for February 2023, was abandoned by the prosecution, citing the impact that retestifying was likely to have on Higgins’s mental health. Both Higgins and Lehrmann foreshadowed further legal proceedings in relation to the way the trial was handled and the surrounding media coverage.The May 2022 elections resulted in improvements in the gender and racial diversity of Australia’s Parliament, with successful candidates including Independent representative Dai Le, a journalist and former Vietnamese refugee, and Labor senator Fatima Payman, the daughter of an Afghan Hazara refugee, who became Australia’s first hijab-wearing Muslim parliamentarian. However, Parliament remains disproportionately White compared to the make-up of Australia‘s population. Openly LGBT+ representatives have served in Parliament since the 1990s.Indigenous Australians are generally underrepresented in Australian politics and some voting restrictions—including the requirement that voters hold a fixed address and a ban on voting by prisoners serving long sentences—disproportionately affect Indigenous populations. However, the 2022 elections brought the total number of sitting Indigenous legislators to 11, bringing the proportion of First Nations parliamentarians—4.8 percent—above the proportion of Indigenous Australians as part of the Australian population—3.3 percent. After forming its government in 2022, the Labor Party pledged to hold a referendum by mid-2024 about constitutionally enshrining an Indigenous Voice to Parliament, a body that would advise Parliament on policy matters affecting Aboriginal and Torres Strait Islander peoples. Text of the proposed constitutional reform was released in July 2022.",3
austria,Austria has competitive political parties that form and operate without encountering undue obstacles. Recent years have seen the rise and fall of various competing parties and coalitions through democratic processes.,4,"Opposition parties have a realistic opportunity to gain representation. Until recently, Austria has often been governed by grand coalitions, a trend that has fostered some public disillusionment with the political process. An ÖVP–FPÖ government, which collapsed in 2019, was succeeded by an ÖVP–Green Party coalition in January 2020. Within months of forming, People Freedom Fundamental Rights (MFG)—a so-called antilockdown party focused on opposing COVID-19-related restrictions—was able to gain enough votes to enter the state parliament in Upper Austria in September 2021.",4,Austrians are generally free to make their own political choices without pressure from any groups that are not democratically accountable.,4,"The participation of Slovene, Hungarian, and Romany minorities in local government remains limited. There is little minority representation in the legislature. The number of people who have been naturalized has fallen since the establishment of a more restrictive national integration policy in 2009. To qualify for naturalization, individuals must have lived in Austria for 10 years—including 5 as a permanent resident—as well as provide proof of regular income and renounce their existing citizenship.Several parties include support for gender equality in their platforms. In the 2019 elections, 39 percent of the members elected to the parliament were women, a slight increase compared to 2017. The country’s first majority-female cabinet was appointed in January 2020.Non-Austrian EU citizens are entitled to vote in municipal elections as well as in European Parliament elections.",3
