Country,Tekst,Skoor,Tekst2,Skoor2,Tekst3,Skoor3
afghanistan,"Decision-making within the IEA is highly opaque. Its leader was proclaimed, not elected. There is no national legislature to check the leadership. A council of ministers functions in Kabul but Akhundzada and his advisers, who are based in Kandahar, hold ultimate authority.",0,"The Taliban claim to have achieved progress in checking widespread corruption present under the republic, particularly in the field of revenue collection. However, institutional safeguards have been weakened. In December 2022, a regime spokesman said the work of the Anti-Corruption Commission had been suspended for financial reasons but would resume.Petty corruption has also been reported under the current regime. Individuals seeking passports, for example, have had to pay bribes.",1,There is no transparency in Taliban governance and decision-making. The national budget released in May 2022 did not include significant detail. Ministers provided few details of their ministries’ activities and avoided questions in public accountability sessions held in August and September.,0
albania,"Since coming to power in 2017, the PS has largely been able to formulate and implement policy, though its ability to do so was somewhat impacted by a February 2019 opposition boycott. The potential for boycotts in the Assembly may weaken legislative oversight of the government.",3,"Corruption is pervasive, and the European Union (EU) has repeatedly called for rigorous implementation of antigraft measures, particularly for corruption within the judiciary. In 2016, constitutional reforms established the Special Anticorruption Structure, which is tasked with investigating and prosecuting high-level corruption.In a process monitored by EU and US experts, the government began vetting judges and prosecutors in 2018, to detect and combat corruption within the judiciary. A 2021 European Commission report praised Albania’s anticorruption efforts, specifically noting the success of judicial vetting. In February 2022, the Assembly extended the mandate of vetting bodies to the end of 2024.",2,"A robust access-to-information law is not well implemented. Public procurement processes and public finances are frequently opaque, though parliamentary procedures are more open.",2
algeria,"The military has historically served as the ultimate arbiter of policy disputes in Algeria, and elected leaders have relied on its support to maintain office. The loss of military backing played a significant role in Bouteflika’s resignation in 2019. The army chief of staff continues to wield considerable influence over the administration of President Tebboune.",1,"Inadequate anticorruption laws, a lack of official transparency, low levels of judicial independence, and bloated bureaucracies contribute to widespread corruption at all levels of government. Anticorruption investigations that do occur are often used to settle scores between factions within the regime. The constitutional reforms passed in 2020 included provisions for a transparency and anticorruption authority, as well as a ban on combining roles in public office and private business.A number of Bouteflika’s former political and economic allies have received harsh prison sentences as part of the anticorruption campaign that followed his resignation. In August 2022, former prime minister Noureddine Bedoui was detained in connection with a corruption investigation. In December, former finance minister Mohamed Loukal, who first came under scrutiny in 2019, was sentenced to seven years’ imprisonment on corruption charges.Whistleblowers have few legal protections, and those safeguards that exist often go unenforced in practice. Several high-profile whistleblowers have faced retaliation from the government in recent years. In March 2022, Mohamed Benhalima, a former army officer who fled the country in 2019 after participating in the Hirak protests, was extradited to Algeria from Spain on dubious charges related to his purported involvement with the banned Rachad movement. While living abroad, Benhalima had publicly exposed corruption within the military through his posts on social media. He faced at least 30 charges for his activism, and was sentenced to 12 years in prison on an initial set of three charges in August. Some human rights organizations reported that Benhalima was also sentenced to death by a military court on charges of “espionage and desertion.”",1,"Algeria lacks access-to-information legislation. There is considerable opacity surrounding official decision-making procedures, the publication of official acts is rarely timely, and rules on asset disclosure by government officials are weak and poorly enforced. The 2020 constitutional revision introduced a requirement for all appointed and elected officials to declare their assets at the beginning and end of their terms, and obliges the public administration to justify its decisions within a time period to be determined by law. While the revised constitution nominally guarantees the right to access information, it includes vague exceptions for “the rights of others, the legitimate interests of businesses, and the requirements of national security.”",1
andorra,"Elected representatives generally exercise their powers without improper influence from unelected or nonstate actors. However, in recent years the Vatican has threatened to ask the bishop of La Seu d’Urgell, Joan-Enric Vives i Sicília, to resign as co-prince if the Andorran government were to decriminalize abortion, a move that would likely cause a constitutional crisis. Similar threats were made in 2009 by the other co-prince, former French president Nicolas Sarkozy, who stated that he would resign if Andorra failed to reform its banking system. Neither co-prince is elected, directly or indirectly, by Andorran voters.",3,"Government corruption is not viewed as a pressing issue in Andorra. Over the past several years, the government has made progress on financial-sector reforms designed to prevent abuses of the country’s banking system that could facilitate domestic or transnational corruption. Nonresidents must make certain disclosures about their bank accounts. In 2021, Parliament approved a transparency law that requires its members to report conflicts of interests and declare their assets. Nevertheless, the Council of Europe (CoE)’s Group of States against Corruption (GRECO) noted in a 2021 report a lack of progress with other anticorruption legislation.",4,"The government operates openly in practice. Among other resources, it publishes a regular bulletin, accessible online, that documents government activity, budgetary processes, public procurement, and asset disclosures. Since 2017, the Ministry of Territorial Planning has sponsored a participatory budget process, allowing members of the public to help set spending priorities. A 2021 transparency law requires authorities to provide information on the remuneration of civil servants and senior officials, as well as on public tenders and contracts.",4
angola,"Governmental power is highly centralized in the presidency. The president is able to legislate by decree on key subjects without public discussion, and Lourenço regularly does so in practice. The National Assembly, which remains under the control of the ruling MPLA, acts largely as a rubber stamp in approving the president’s policies.",1,"After decades of MPLA rule, corruption and patronage have become entrenched in nearly all segments of public and private life. A few high-profile associates of former president José Eduardo dos Santos have been convicted of corruption in recent years, including his son, José Filomeno dos Santos, whose 2020 guilty verdict was upheld by the Supreme Court in 2021. The former president’s daughter, Isabel dos Santos, has been accused of siphoning public funds from the state oil firm, Sonangol; she was ordered to return $500 million in shares to the company by an international arbitration court in 2021. However, senior officials who are not directly connected to the family of former president dos Santos have rarely been brought to trial.",1,"Government operations are generally opaque. In 2018, the government announced the formation of the National Oil, Gas, and Biofuels Agency (ANPG) to oversee the industry beginning in 2019. However, its leadership was drawn from that of Sonangol.",0
antigua-and-barbuda,"The elected prime minister, cabinet, and parliament determine government policies. There are some concerns about the influence of businesses on policymaking.Tensions between the central government and residents and representatives from Barbuda have grown as the government has sought to weaken the Barbuda Land Act of 2007, which guaranteed that land on Barbuda was communally owned by Barbudans and that their consent was required for its purchase and development. The Barbuda Council has resisted the Browne government’s plans to develop the island. In 2020, the Council called for the secession of Barbuda, while the government accused the Council of treason and threatened to remove it from the country’s constitution.",3,"Government corruption remains a concern, and anticorruption laws are enforced unevenly. Authorities have been criticized for doing little to investigate local official wrongdoing in several high-profile cases.Antigua’s Citizenship by Investment (CBI) Program and Permanent Residence Certificate, in which individuals can be granted citizenship or residency in exchange for a sizable business investment or contribution, have been scrutinized in recent years. In March 2022, US legislators introduced the No Travel for Traffickers Act, making countries that operate CBI programs ineligible for the US visa waiver program. Also in March, Antigua suspended CBI applications from Russian and Belarusian nationals in response to the full-scale Russian military invasion of Ukraine. The European Parliament recommended in March that visa-free access into the European Union (EU) for countries operating CBIs should be restricted.",2,"The government of Antigua and Barbuda has gradually improved its accountability structures, but there are deficiencies in how the Public Accounts Committee and the auditor general operate. Public officials must disclose all income, assets and personal gifts received in their official capacity in a confidential report to the Integrity Commission. Resource deficiencies have impeded the commission’s ability to investigate corrupt individuals. Despite the Procurement and Contract Management Act of 2011, concerns remain about public procurement—notably regarding the expertise of procurement officials, the completeness of documentation, and that some applications are made retroactively, often with a waiver being requested.",3
argentina,"Elected officials are duly installed without interference. The political system is characterized by a powerful executive, with the president having authority to implement some policies by decree, bypassing the legislative branch. Provincial governors are also powerful and tend to influence national lawmakers representing their provinces.Vice President Fernández de Kirchner handpicked Alberto Fernández (no relation) as presidential candidate and has been the driving force behind the ruling coalition. Several ministers and lawmakers answer personally to her. Growing divisions between them have weakened the president’s authority.",3,"A weak institutional framework hampers anticorruption efforts. The country’s main anticorruption body is part of the executive, legislative oversight is scarce, and the judiciary is widely considered to be politicized and ineffectual, especially at the provincial level. Many politicians hold immunity in connection with their elected posts, and are thus protected from legal consequences for corrupt behavior.In recent years, incumbent vice president Cristina Fernández de Kirchner has been the subject of numerous investigations for alleged corruption during her 2007–15 presidential term. In December 2022, Fernández de Kirchner was found guilty of fraud for improperly awarding approximately $1 billion in public contracts to a family friend while serving as president. Fernández de Kirchner—Argentina’s first vice president to be convicted of a crime while in office—has condemned the conviction as politically motivated. She was sentenced to six years in prison and permanently banned from holding public office, but the sentence will not be imposed until the appeals process is complete.",2,"An agency to guarantee access to public information was created by law in 2017 but is not independent of the presidency. Adherence to and enforcement of public-asset disclosure regulations is inconsistent. Though the Constitution requires the head of the cabinet to appear before Congress monthly to report on the government’s progress and answer questions, this rarely happens in practice.The national government has endeavored to digitize records and procedural documents, but local and provincial governments have been slower in this work.",3
armenia,"Through its significant majority, gained in a free and fair election, the Civil Contract Party controlled parliamentary decision-making after the June 2021 snap elections. Though Prime Minister Pashinyan promised to loosen the influence of business over policymaking, two wealthy businessmen entered the parliament from his party list. Some opposition parliamentarians also maintain close ties to businesspeople. Since facilitating the November 2020 cease-fire agreement that paused the conflict over Nagorno-Karabakh, Russia wields increased influence in Armenia as the main mediator in Armenian-Azerbaijani negotiations and has deployed military forces across the Armenian-Azerbaijani borders. In May, opposition groups in the parliament boycotted parliamentary sessions and demanded the prime minister’s resignation due to Pashinyan’s handling of the conflict with Azerbaijan. However, the opposition groups failed to gain public support and dismantled their tents after two months of blockading the center of Yerevan. They continued boycotting parliamentary sessions until mid-November.",2,"Relationships between politicians, public servants, and businesspeople have historically influenced policy and contributed to selective application of the law. High-level government officials are rarely investigated despite clear evidence of improper uses of their office. Though the government attempted to investigate past wrongdoings and fortify anticorruption mechanisms after the revolution, those measures were significantly hindered by security challenges following the 2020 war.In November 2022, the new Anti-Corruption Court and the Anti-Corruption Chamber of the Court of Cassation went into effect after legislation created the two bodies in April 2021. Though authorities have initiated high-profile corruption investigations, no charges have been brought forward. In August 2022, prosecutors initiated lawsuits to recover stolen assets from allegedly corrupt former officials from the prerevolution regime. In November, Mnatsakan Martirosyan’s election as an Anti-Corruption Court judge sparked controversy, as several of his rulings in politically charged cases had been overturned by the European Court of Human Rights (ECtHR).",2,"Transparency has historically been limited, and enforcement of asset-declaration rules for public officials has been weak. In 2020, the parliament made strides in enhancing transparency, including by strengthening asset-declaration requirements, though a lack of transparency and accountability persists. Prime Minister Pashinyan no longer conducts in-person press conferences with journalists, instead conducting them online, which has been criticized by local media groups.",2
australia,The freely elected government is generally able to develop and implement policy.,4,"Laws against official corruption are generally well enforced, but the absence of a federal anticorruption body has made enforcement more difficult. All states and territories operate local anticorruption bodies.After coming to power in 2022, Labor introduced legislation to create a National Anti-Corruption Commission (NACC), which passed the House of Representatives and the Senate in late November. The NACC will have retrospective powers to investigate a broad range of conduct by public officials. Though the NACC’s inclusive definition of corrupt conduct received praise, other elements received criticism from some legislators and transparency experts, notably the fact that the legislation as drafted only allows for public hearings in exceptional circumstances.",4,"Government operations are characterized by a high degree of transparency, and political affairs are openly discussed in Parliament and in the media. Parliamentary records and commissioned reports are readily available. The Freedom of Information (FOI) Act allows people to access a wide range of government documents, though some government agencies have been criticized for long delays and unnecessary refusals of FOI requests.In August 2022, it emerged in a series of reports that, while serving as prime minister, Scott Morrison had secretly appointed himself cominister of five portfolios between March 2020 and May 2021. In addition to the premiership, Morrison was jointly serving as minister of health, minister of finance, minister of industry, science, energy and resources (ISER), treasurer, and minister of home affairs—giving him power over 6 of the 14 departments of state. Morrison justified his self-appointments as a contingency plan should the responsible ministers contract COVID-19. Morrison denied ever exercising the powers granted by the secret appointments except in one case where he intervened in an offshore gas exploration matter.There was significant criticism, from both the media and political class, of Morrison’s conduct, including of his justification for the self-appointments and the secrecy surrounding them. Notably, three of Morrison’s own cabinet ministers were unaware he had appointed himself to their portfolios; one of those former ministers, Karen Andrews, who had unknowingly jointly administered the home affairs ministry with Morrison, publicly called for him to resign from Parliament over the scandal.While legal advice given to the Albanaese government by the Australian solicitor general found that Morrison’s self-appointments were valid and had not breached any laws, it also found that Morrison’s secrecy over the appointments was inconsistent with the constitutional principle of responsible government. The advice noted that, because Morrison’s appointment was not publicly known, and because Morrison was legally and politically responsible for the administration of the departments within his ministerial remit, there was no means by which he could be held accountable for any actions he took or did not take. Following the November publication of a scathing report into the self-appointments by former High Court justice Virginia Bell, Morrison became the first former Australian prime minister to be censured by Parliament. ",3
austria,"The freely elected president and legislative representatives work with the chancellor, vice chancellor, and cabinet ministers to determine the policies of the government.",4,"Public-sector corruption is problematic, and the political class is widely perceived as corrupt. The Council of Europe (CoE)’s Group of States against Corruption (GRECO) has criticized Austria for failing to regulate lobbying and prevent corruption. Investigations related to Ibizagate—which began with the 2019 release of a video of then FPÖ leader Heinz-Christian Strache offering state contracts in exchange for donations and favorable media coverage—continued in 2021 and 2022. Strache was found guilty of corruption in August 2021 and given a 15-month suspended sentence. An appeal was pending as of year-end 2022. Strache was also tried on separate corruption charges in June 2022, based on allegations that he had awarded board positions at a state-owned company in return for donations to an FPÖ-linked organization. He was acquitted in July.In recent years, the corruption prosecutor’s office has investigated numerous allegations of false testimony, bribery, and corruption involving senior FPÖ and ÖVP politicians, including former chancellor Kurz. High-level corruption investigations continued in 2022, including into the president of the National Council, Wolfgang Sobotka, who has been implicated in numerous corruption scandals. Following a 2019 EU directive requiring member states to pass laws implementing rights and obligations regarding whistleblowers, the government drafted a bill in June 2022 that would introduce far-reaching measures to protect whistleblowers. The act had not been passed at year’s end.",3,"Austria’s government has frequently been criticized for inadequate transparency. Official secrecy remains enshrined in the constitution, and Austria’s overall legal framework on access to information is weak.In February 2021, the ÖVP–Green Party government agreed on a draft Freedom of Information Act, which would provide for the end of official secrecy; the draft had not passed as of year-end 2022. The draft legislation has been criticized as weak and overly narrow by information rights groups.",3
