Country,Tekst,Skoor,Tekst2,Skoor2,Tekst3,Skoor3,Tekst4,Skoor4
afghanistan,"Media freedom is severely restricted under the Taliban. Media outlets are subject to intrusive monitoring and guidance by multiple Taliban organs, which are reinforced through threats and violence. The Afghan media sector has also suffered from the loss of state patronage, donor funding, and private-sector revenue. Many Afghan journalists have fled for other countries in the region and have sought asylum in European countries and the United States since the republic’s fall.In March 2022, local-language television content produced by the British Broadcasting Corporation (BBC) was taken off the air. Output from China Global Television Network, Deutsche Welle, and Voice of America (VOA) was also banned that month.According to a December 2021 report released by Reporters Without Borders (RSF) and the Afghan Independent Journalists Association, 231 of the 543 outlets that operated immediately before the Taliban’s takeover closed by the end of that year. Some 6,430 media workers, meanwhile, were no longer working in the field. Women were especially affected, with 84 percent of female workers losing their jobs. Since September 2021, the IEA has introduced at least three sets of guidelines for the media, though the guidelines were not publicly shared. Among other things, these guidelines instruct outlets and journalists to show respect for Islam, desist from reporting news items considered false, refrain from publishing information the regime has not confirmed, and operate within cultural norms. Entertainment programming that is believed to violate social and cultural norms is banned. Women’s dress is also restricted under the guidelines. At least three Taliban organs have actively enforced these restrictions: the Ministry of Information and Culture, the Ministry of Vice and Virtue (MVV), and the General Directorate of Intelligence (GDI).In practice, authorities have exercised arbitrary control over the media, well beyond what is implied by their published guidelines. Journalists have been subject to arbitrary arrest, detention, threats, and harassment, primarily from the GDI. Pressure has mainly been directed towards ensuring favorable coverage of the regime, stifling criticism, and reducing coverage of opponents and critics. Self-censorship is pervasive as a result.Established outlets now operate from abroad, while new outlets focused on Afghanistan have been formed outside the country since the IEA was established; all these outlets rely on social media to share their output. The Taliban have increased their own social-media activity and have warned people against accessing critical posts. Nevertheless, social media remains uncensored and accessible to Afghans.",1,"Religious freedom, which was already hampered by violence and discrimination under the republic, has been heavily curtailed by the Taliban, who vigorously assert their interpretation of the Hanafi school of Sunni Islam.During 2022, the MVV expanded its moral code covering dress, behavior, and religious observance. In January, the MVV placed posters in Kabul that called on women to dress according to the regime’s interpretation of Sharia. In May, the MVV ordered women to wear clothing that only exposed their eyes in public and urged them to remain at home. The MVV also intensified enforcement operations, though provincial-level directorates reportedly exercised a degree of discretion in applying the new code.Government organs, particularly the GDI, have systematically persecuted religious minorities. Adherents of Salafism have been especially targeted, with members facing arbitrary detention, forced disappearance, torture, and summary execution by the Taliban, who accuse them of supporting the ISKP. Christians, who are few in number, also face arrest and violence. The regime does not persecute members of the Hazara community, most of whom identify as Shiite, as a matter of policy. However, Hazaras face persecution in practice, with individual members being targeted and houses of worship being desecrated during military operations in Hazara-majority areas. Hazara and Shiite populations were also targeted by the ISKP in 2022. The ISKP launched several attacks during the Ashura holiday in August, killing and injuring over 120 people according to UNAMA. In late September, at least 53 people were killed when a suicide bomber detonated a device in a Hazara-majority section of Kabul.",1,"The regime sought to transform Afghanistan’s educational system during 2022; it initiated an ideologically driven review of the curriculum, patronized its supporters when recruiting teachers, and banned books and other materials. The regime has also favored religious schools over other institutions; several dozen schools, universities, and training centers have been converted into religious institutions since the IEA was established.",0,"Afghans cannot freely engage in private discussion without risking offline and online surveillance. Criticism of the IEA or its moral code is grounds for arrest, as are sympathetic statements towards the National Resistance Front (NRF), an armed group that has resisted Taliban rule in the north. The GDI has worked to expand its network of agents, who are paid to inform on their neighbors’ activities. Taliban routinely search mobile phones for social media comments criticizing the regime.",0
albania,"While the constitution guarantees freedom of expression, the intermingling of powerful business, political, and media interests inhibits the development of independent news outlets; most are seen as biased toward either the PS or the PD. Reporters have little job security, low salaries, and remain subject to lawsuits, intimidation, and occasional physical attack by those facing media scrutiny.In November 2022, Council of Europe (CoE) fact finders warned that the Albanian media environment was worsening due in part to media-sector concentration. The CoE mission also voiced concerns over the independence of the country’s media regulator, the Audiovisual Media Authority. The government restricted reporting on sensitive subjects in 2022. In June, prosecutors ordered outlets not to report on state witnesses’ testimony from an organized-crime investigation. In September, prosecutors banned the publication of material that was revealed via a cyberattack.",2,"The constitution provides for freedom of religion, which is generally upheld in practice.",4,"The government typically does not limit academic freedom, though teachers in several districts have faced pressure ahead of elections to participate in political rallies. Access to higher education is affected by corruption.",3,There are no significant restrictions on private discussion.,4
algeria,"Although some newspapers are privately owned and some journalists remain aggressive in their coverage of government affairs, most papers rely on government agencies for printing and advertising, encouraging self-censorship. Authorities sometimes block distribution of independent news outlets that are based abroad or online. Viewers can access unlicensed private television channels that are located in Algeria but legally based abroad, though these are subject to government crackdowns.A 2020 law criminalized “fake news” that undermines public order and security; offenders can receive one- to five-year prison sentences. News sites must be directed by Algerian nationals and based physically in Algeria, report income sources, and keep an archive of at least six months. Foreign-language websites must be approved by a special authority. In September 2022, the government unveiled a bill that, if approved, would prevent newspapers from receiving any funding from abroad or from “suspicious sources.” Authorities use these and other legal mechanisms to restrict media activity. A number of media outlets were shuttered in 2022, including the independent French-language newspaper Liberté, which reportedly closed due to political pressure. In December, authorities closed Radio M—one of the last remaining critical media outlets in Algeria—after security forces raided its offices and arrested Ihsane el-Kadi, its editor in chief. El-Kadi, who has been arrested in connection with his work several times in recent years, was charged with threatening national security and “receiving suspicious funding from foreign sources.”Journalists and bloggers are frequently subjected to harassment, including brief detentions and fines for offenses such as defamation and “undermining national unity.” Journalists covering demonstrations or who are close to the Hirak have been arbitrarily arrested and interrogated; several of these incidents were reported in 2022. In one case in January, journalist Merzoug Touati was sentenced to a year in prison for “spreading false information” after writing an article condemning the conditions in which a detained activist was being held. Foreign outlets are also subject to government interference. In 2021, the government withdrew France 24’s authorization to operate in Algeria, alleging that the French state-owned broadcaster engaged in “repeated hostility” toward national institutions.",1,"Algeria’s population is overwhelmingly Sunni Muslim. Members of religious minorities, including Christians and non-Sunni Muslims, suffer from state persecution and interference. Authorities have cracked down on the small Ahmadi community, claiming that its members denigrate Islam, threaten national security, and violate laws on associations. In June 2022, 18 Ahmadis were charged in Béjaïa with participating in “an unauthorized group” and “denigrating Islam.” In a September trial, three were sentenced to a year in prison, and the remaining 15 were fined and sentenced to six months’ imprisonment. Religious communities may only gather to worship at state-approved locations. Accusations of nonbelief or blasphemy can draw criminal punishments. Proselytizing by non-Muslims is illegal. In September 2022, authorities requested that that the Algerian branch of Caritas, a charitable organization affiliated with the Roman Catholic Church, cease operating in the country. The government did not provide an explanation, but local sources reported that the request was likely made because the government considered Caritas to be a foreign organization. Authorities have engaged in a crackdown on the Algerian Protestant Church (EPA) since 2017, though the EPA had been legally recognized in 1974. In April 2022, a Protestant church in Tizi Ouzou Province was closed following an order from the governor, becoming the 17th Protestant church to be closed since 2017.",1,"Authorities generally do not interfere directly with the operations of universities, but debate is circumscribed in practice due to restrictive laws that limit speech more broadly. Academic work is also affected by state censorship of domestically published and imported books. Student organizations were active in the Hirak, with members calling for political reforms. The authorities occasionally resorted to violence to suppress these demonstrations.",2,"Private discussion and the public expression of personal views are relatively unhindered when they do not focus on certain sensitive topics, but social media users are subject to prosecution for critical comments that touch on the government or religion. The government monitors internet activity in the name of national security and does not disclose information about the program’s targets or range, which is thought to be extensive.The authorities are known to prosecute social media users, particularly Hirak supporters. A Hirak activist, Hakim Debbazi, was arrested in February 2022, allegedly for posting pro-Hirak information on Facebook. Debbazi died in pretrial detention in April, after a court rejected a request that he be released due to his deteriorating health.",2
andorra,"There are several daily and weekly newspapers, and the country’s only domestic television station is operated by the public broadcaster Ràdio i Televisió d’Andorra. Residents have access to a variety of foreign media services. While press freedom is generally respected, criminal defamation laws remain on the books, and business, political, and religious interests have historically influenced media coverage; reporting on the activities of Andorra’s banks has been particularly difficult. The biggest media outlets are dependent on state advertising, which limits their opportunities to criticize the government.",3,"Freedom of religion is generally upheld, but the Roman Catholic Church enjoys a privileged position that allows it to draw on some state support and bypass some bureaucratic processes that other faith groups must adhere to. In April 2022, the parliament amended the Education Law to ban conspicuous religious symbols—such as yarmulkes, hijabs, and large crosses—in public schools, which Amnesty International has called discriminatory. In October, the government approved a decree providing students who are affected by the new law with the option to take classes online. In one case, a Muslim girl began taking her classes online so that she would not be made to remove her headscarf in the classroom.Despite years of negotiations between the Muslim community and the government, there is no recognized mosque for the country’s roughly 2,000 Muslims. The government has organized meetings with Jewish and Muslim communities to discuss the possible establishment of a special cemetery where those groups could conduct burials according to their customs and beliefs, but little progress has been made.",3,"There are no restrictions on academic freedom, and the educational system is free from indoctrination.",4,"There are no significant constraints on personal expression or freedom of private discussion. Authorities are not known to illegally monitor private online communications. However, in 2020, authorities drew up three slander charges against activist Vanessa Mendoza Cortés, who advocated for safe abortions, which Amnesty International and other international human rights groups called an attack on freedom of expression. Two of the charges were dropped in June 2021, but Mendoza Cortés, whose trial had not yet occurred by the end of 2022, could still face a fine of 30,000 euros (approximately $32,775).",4
angola,"The Angolan state owns most media in the country, and such outlets report favorably on the government, rarely carrying critical coverage. Most ostensibly private outlets also act as mouthpieces of the regime. However, content produced by foreign news agencies is widely consumed.Insult and defamation are considered criminal offenses. Journalists accused of engaging in incitement, hate speech, defense of fascist or racist ideologies, or dissemination of “fake news” can be charged with “abuse of press freedom.” Government officials regularly file criminal complaints as well as civil lawsuits against members of the press in practice. Journalists also face physical violence in the course of their work, with several assaults reported during 2022.",1,"The constitution guarantees religious freedom, but the government imposes onerous criteria on religious groups for official recognition, which is required for the legal construction of houses of worship. Many Pentecostal churches remain unregistered.There are no registered Muslim groups, though Muslim communities have been vocal in their demands for recognition and the right to worship freely.",2,"Academics must maintain a façade of agreement with the MPLA’s preferred narratives and refrain from open criticism of the party, or risk losing their positions. Those who voice dissent are often monitored by security services.",2,"Fear of retribution for expressing criticism of the government or controversial opinions in private conversations persists in Angola, and self-censorship is common. Known surveillance of civil society groups, journalists, and academics can leave ordinary citizens reluctant to speak out. The government actively monitors online activity.Opposition parties’ youth organizations claim that repression of political dissent has increased in recent years, citing several instances of arbitrary arrests and intimidation of government critics by state security forces.",2
antigua-and-barbuda,"Press freedom is generally respected in Antigua and Barbuda. Criminal defamation was abolished in 2015. However, under the Sedition and Undesirable Publications Act, seditious libel is a criminal offence punishable by a maximum of two years in prison and a maximum fine of $5,000. Journalists remain at risk of libel suits from politicians subject to media scrutiny. The prime minister has characterized the often-critical Observer as “fake news” and a threat to the country.Most media outlets are concentrated among a small number of firms affiliated with either the ABLP or UPP.",3,"The constitution provides for freedom of worship as well as the right to practice and change religion, and these freedoms are generally respected. A law outlawing blasphemous language is not enforced.",4,Academic freedom is generally respected.,4,Individuals are generally free to express their personal views on political or other sensitive topics.,4
argentina,"Argentina has a robust and lively media environment. The law guarantees freedom of expression and bans official censorship. However, media ownership is concentrated among large conglomerates that frequently favor a political grouping, and state advertising allocation tends to favor government-friendly media groups. Journalists face occasional harassment and violence, especially when covering corruption and drug-related criminality. Some journalists have faced charges in connection with their investigative work.",3,"Freedom of religion is constitutionally guaranteed and enforced in practice. The population is largely Roman Catholic but public education is secular, and religious minorities express their faiths freely.",4,Academic freedom is guaranteed by law and largely observed in practice.,4,"Private discussion is vibrant and largely unrestricted. However, government agencies have been known to monitor social media activity, and intelligence services have been accused of illegally surveilling journalists, politicians, and civil society groups. In November 2022, a federal prosecutor requested that former president Macri be indicted on espionage charges for allegedly using Argentina’s intelligence services to illegally monitor opposition leaders.",4
armenia,"Independent and investigative outlets operate relatively freely in Armenia, and generally publish online. Small independent outlets often provide robust coverage challenging the narratives of state broadcasters and other establishment media. By comparison, most print and broadcast outlets are affiliated with political or larger commercial interests.In 2021, authorities imposed several new restrictions on media freedom, including limiting the free movement of journalists in the parliament and in parts of the Syunik region. In July of that year, the parliament criminalized the act of directing serious insults (defamation) toward officials and public figures. After significant outcry from journalists’ associations and human rights organizations raising concerns that the law could be easily abused, the law was removed from the criminal code in July 2022.The Committee to Protect Freedom of Expression (CPFE), a local nongovernmental organization (NGO), recorded that 15 journalists had experienced physical violence between January and September 2022.",2,"Article 18 of the constitution recognizes the Armenian Apostolic Church as a “national church” responsible for the preservation of Armenian national identity; 94 percent of the population identifies as Armenian Apostolic. Religious minorities have reported some discrimination in the past.In 2020, the National Security Service (NSS) opened an investigation into Yazidi activist Sashik Sultanyan after he publicly stated that Yazidis experience discrimination in Armenia; international human rights nongovernmental organizations (NGOs) have criticized the investigation as retaliatory and unlawful. The trial was in progress at the end of 2022.",2,"Although the constitution protects academic freedom, administrative and accreditation processes remain open to political influence. There is some self-censorship among academics on politically sensitive subjects. In March 2021, the parliament issued an executive order allowing the government to appoint most members of the boards of trustees for three of the country’s leading state universities, which enables the authorities to exercise more control over the universities’ key decisions, including the election of university rectors.In August 2022, Yerevan State University student Taron Manukyan, son of opposition member of Parliament Gegham Manukyan who had been arrested for assault, was expelled from the university for failing to take in-person exams. Gegham Manukyan claimed authorities had stepped in to prevent his son from sitting for his online or at the place he is detained, as other people in prison had been able to do so.",2,"Private discussion is relatively free and vibrant. The law prohibits wiretapping or other electronic surveillance without judicial approval, though the judiciary lacks independence and has been accused of excessive deference to law enforcement agencies requesting consent. In July 2022, the minister of justice removed provisions from the criminal code that criminalized defamation, which had been implemented in July 2021 and had been used to open at least nine criminal cases against people accused of insulting public figures.In late 2021, reports by Meta and Citizen Lab claimed that Armenian authorities had paid for the use of Predator spyware, created by the North Macedonian company Cytrox. The spyware had been used to target journalists, dissidents, and human rights activists in several countries, including Armenia. In May 2022, a report by Google’s Threat Analysis Group (TAG) also linked the use of Cytrox spyware to victims in Armenia, claiming “government-backed actors” were responsible. Local media outlets reported that the devices of several political dissidents had been hacked.",3
australia,"Though the constitution does not explicitly protect press freedom, journalists scrutinize lawmakers and the government, covering controversial topics generally without serious obstacles or risk of harassment or violence. Members of the press have been constricted by the use of judicial suppression orders while covering criminal cases.In February 2021, the government passed the News Media and Digital Platforms Mandatory Bargaining Code, which established a mandatory arbitration regime for digital platforms, such as Facebook and Google, to negotiate with and ultimately pay news outlets for using their content. The code has been criticized for potentially weakening media diversity, but  by August 2022, it had resulted in an additional AU$200 million ($138 million) in revenue for Australian news outlets arising from deals they struck with global platforms. The increase in revenue has been used to fund new hiring at some outlets. Public figures, including politicians, regularly sue journalists or members of the public for defamation for publishing unfavorable stories or other content about them, particularly online. In a recent example, the Federal Court of Australia ordered in June 2022 that Google pay former deputy premier of New South Wales John Barilaro AU$715,000 ($493,000) in damages after popular blogger Jordan Shanks-Markovina posted videos on YouTube found to be defamatory toward Barilaro.",3,"The constitution explicitly prohibits laws that would either impose or restrict religious expression, and individuals are generally able to express religious beliefs or nonbelief.",4,"Academic freedom is generally respected. However, federal officials have in the past warned of Chinese attempts to monitor Chinese students in Australia, and to question academics in Australia whose views differed from those of the Chinese government. Some students have expressed fears of foreign surveillance, prompting them to wear masks to protect their identities while protesting Chinese government actions. Some universities receive significant amounts of foreign funding, particularly from China, which has further raised concerns over Beijing’s influence on curriculums and university governance.",4,"Generally, people in Australia may freely discuss personal views on sensitive topics, though the government has passed several laws in recent years increasing its surveillance powers. A data retention law requires telecommunications companies to store users’ metadata for two years and has raised concerns about the government’s ability to track mobile and online communications. In 2019, the Australian Federal Police (AFP) disclosed that it accessed Australians’ metadata nearly 20,000 times and reviewed the metadata of journalists 58 times during its 2017–18 reporting period. In late 2021, the Surveillance Legislation Amendment (Identify and Disrupt) Act 2021 was enacted, granting the AFP and the Australian Criminal Intelligence Commission broad surveillance powers, including powers to take over user accounts and disrupt user activity. Rights groups have criticized the laws as overly broad with insufficient safeguards.The 2018 Assistance and Access Act requires technology companies to provide law enforcement agencies access to encrypted communications, on grounds that include preventing terrorism and crime. Civil rights groups criticized the law’s broad reach, relative lack of oversight, and steep fines for companies that do not comply. Vault Systems, an Australian provider of cloud services, warned in 2019 that multinational companies were increasingly housing their data in other countries because of the legislation.",4
austria,"The federal constitution and the Media Law of 1981 provide the basis for free media in Austria. However, libel and slander laws protect politicians and government officials, many of whom—particularly members of the FPÖ—have filed defamation suits in recent years. Media ownership remains highly concentrated, particularly in the provinces, and the government exerts some influence on the state broadcaster, the Austrian Broadcasting Corporation (ORF).Media outlets are eligible to receive government funding through advertising and in the form of press subsidies intended to ensure media diversity. In March 2022, a broad parliamentary majority approved amendments to a 2004 media financing law, including reforms making €20 million in government funding available annually. In 2021, several ÖVP politicians resigned over allegations of having purchased favorable news coverage during the 2017 elections. Former family minister Sophie Karmasin was arrested on corruption charges related to the scandal in March 2022.While there is no official censorship, Austrian law prohibits any form of neo-Nazism or antisemitism, as well as the public denial, approval, or justification of Nazi crimes, including the Holocaust.",3,"Religious freedom is constitutionally guaranteed. Austrian law divides religious organizations into three legal categories: officially recognized religious societies, religious confessional communities, and associations. Many religious minority groups allege that the law impedes their legitimate claims for recognition and demotes them to second-class status.Foreign funding for Muslim houses of worship and imams is prohibited by a 2015 law; Orthodox Christian and Jewish groups with similarly strong links to communities abroad face no such restrictions. The FPÖ has been criticized for stoking anti-Muslim sentiment through controversial advertising campaigns. In recent years, antisemitic and anti-Islamic tendencies have become more prevalent. Nearly 1,000 antisemitic attacks were recorded during 2021—a more than 65 percent increase over those recorded in 2020. According to the Jewish Community of Vienna (IKG), the number of antisemitic incidents reported in the first half of 2022 marked a 32 percent decrease compared to the same period in 2021. In 2021, the ÖVP–Green government established a new staff unit in the fight against antisemitism. In May 2022, representatives from 15 European Union (EU) member states met in Vienna to discuss standardizing the recording of antisemitic incidents and crimes.",3,"Academic freedom is generally upheld, and the educational system is free from extensive political indoctrination.",4,"Private discussion in Austria is generally free and unrestricted. However, there have been some difficulties related to the balance between ensuring freedom of speech and enforcing legal prohibitions on hate speech.",4
