Country,Tekst,Skoor,Tekst2,Skoor2,Tekst3,Skoor3
afghanistan,"The Taliban use force to suppress demonstrations and media coverage of those demonstrations. However, the authorities reportedly orchestrate rallies to showcase views they promote, such as demands for the lifting of sanctions.Afghan women continued to stage sporadic protests during 2022 but risked severe mistreatment for doing so. In October, Human Rights Watch (HRW) reported incidents where female protesters were tortured by authorities, along with male relatives; female protesters told HRW that relatives, including children, were detained with them. Authorities used water cannons to disperse those protesting the higher-education ban in December.",1,"NGOs are permitted to operate as long as they are registered with the Ministry of Economy. However, they are subject to multiple and intrusive checks, including to ensure that they observe regulations on women’s dress. In December 2022, the ministry told NGOs not to allow female employees to report for work and threatened to revoke the registration of NGOs for noncompliance. Several aid groups, including the Norwegian Refugee Council and Save the Children, suspended their operations as a result.Authorities applied informal pressure to install their supporters on the boards of NGOs and pressured donors to interact with Taliban-controlled NGOs. NGOs involved in humanitarian operations faced pressure from the Taliban to prioritize their members and supporters when distributing aid. Personnel enjoyed no protection from harassment, and staff members belonging to the few human rights–focused organizations active in Afghanistan were particularly vulnerable. Human rights activists have been arrested, tortured, and killed since the Taliban returned to power, while many involved in human rights work have fled.",1,"Under the 2004 constitution, Afghan workers had broad constitutional protections. However, labor rights were poorly defined, and no effective enforcement or dispute-resolution mechanisms existed. Unions were largely absent from the large informal and agricultural sectors. The rise of the Taliban has not yet had a noticeable effect on labor rights.",1
albania,"Freedom of assembly is generally respected.Several protests and events were held in 2022, including some political rallies that turned violent. In January, supporters of Sali Berisha attempted to storm PD headquarters; they were forcibly dispersed by police using tear gas and water cannons, leading to several injuries. In December, Berisha was physically attacked while leading an antigovernment protest; the assailant was quickly arrested.",3,Nongovernmental organizations (NGOs) generally function without restriction but have limited funding due to dependence on foreign donors.,3,"Workers are constitutionally allowed to organize and bargain collectively, and most have the right to strike. However, effective collective bargaining remains limited, and union members have little protection against discrimination by employers.",2
algeria,"Legal restrictions on freedom of assembly remain in place but are inconsistently enforced. Though the Hirak protests that began in 2019 were sometimes tolerated, the authorities frequently used force and arbitrary arrests to preempt or disrupt rallies.Hirak protesters faced increasing repression after demonstrations resumed in 2021, causing the movement to lose momentum; large-scale Hirak protests did not return in 2022. However, police continued to arrest individuals alleged to have ties to the movement during the year.Other antigovernment demonstrations continued in 2022 and were met with repression by the authorities. In April, security forces dispersed a demonstration commemorating past pro-Amazigh protest movements, arresting several participants.",1,"The 2012 law on associations effectively restricts the formation, funding, and activities of nongovernmental organizations (NGOs). Permits and receipts of application submission are required to establish and operate NGOs, but organizations often face considerable delays and bureaucratic obstacles when attempting to obtain such documents, leaving them in a legally precarious position.The authorities have targeted human rights activists who are close to the Hirak and the political opposition. In February 2022, activist Faleh Hammoudi was sentenced to three years in prison and a 100,000 dinar ($700) fine on charges including running an “unregistered association,” due to his work heading a chapter of the Algerian League for the Defense of Human Rights (LADDH).NGOs must notify the government of staffing changes and submit detailed reports on their funding; those that accept foreign funding without government approval risk fines or imprisonment of staff.",1,"The country’s main labor federation, the General Union of Algerian Workers (UGTA), has been criticized for its close relationship to the government and for its failure to advocate for workers’ interests.Workers require government approval to establish new unions. This is difficult to obtain in practice, leaving many unions without legal status. Authorities routinely clamp down on independent unions. The Autonomous National Union of Electricity and Gas Workers (SNATEG), an independent union that represents public utility workers, has been repeatedly harassed by the authorities in recent years.",1
andorra,"Andorran law provides for freedom of assembly, and the government respects this right in practice. Demonstrations against government policies and in response to other social and political controversies take place on occasion. Authorities imposed temporary restrictions on large gatherings during 2020 to limit the spread of COVID-19.",4,Various nongovernmental organizations (NGOs) function without restriction. Human rights groups are generally able to publish their findings and advocate for improvements without repercussions.,4,"The right to unionize is protected by law and the constitution, and a new labor law that took effect in 2019 established regulations for collective bargaining and the right to strike. However, unions and the political opposition characterized the law as a setback, arguing in part that it placed unnecessary constraints on the right to strike and increased job insecurity. There are no laws in place to penalize antiunion discrimination.In 2018, Andorra experienced its first major strike in 85 years when civil servants walked out to protest reforms to their contracts proposed by the government.",3
angola,"Constitutional guarantees of freedom of assembly are poorly upheld. While the Lourenço administration initially showed more tolerance for public demonstrations than its predecessor, peaceful marches are still frequently met with arrests and violence by the security forces, at times resulting in the deaths of protesters.Authorities broke up or prevented planned protests on multiple occasions in 2022, both before and after the August elections. In April, for example, police in the capital disrupted a protest calling for free and fair elections and the release of political prisoners, arresting 22 people for disobeying police orders. Two organizers were convicted and made to pay fines, but the rest were acquitted.In September, police prevented a demonstration against election fraud on the outskirts of Luanda and arrested three people after they were interviewed by reporters at the scene. Several others were detained or chased away by officers as they passed by. There were also reports that civic activists had been arrested at their homes. The army and police generally maintained a heavy and visible security presence on the streets in the wake of the August elections, contributing to a climate of fear that may have further deterred assembly.",1,"Nongovernmental organizations (NGOs) that work on human rights and governance issues are closely monitored. The MPLA has historically made vocal attempts to discredit their work and sometimes threatened such groups with lawsuits and outright closure, prompting many to curtail their activities.Ahead of the August 2022 elections, authorities worked to prevent planned civil society meetings from taking place. In May, for example, police physically blocked two NGOs from hosting a conference on peacebuilding. In September, authorities announced the arrest of 12 civic activists for “financing and promoting the dissemination” of videos on social media to “sow insecurity, hatred, and panic among the population.” They were released without charge after several days of detention.Two prominent activists who were arrested in January remained in detention at year’s end. Luther Campos was arrested for promoting a socioeconomic protest by taxi drivers and was still awaiting trial as of December. Gilson da Silva Moreira was then arrested after attempting to publicize the harsh conditions of Campos’s confinement; he received a suspended prison sentence of one year and three months in October, but he continued to be held pending an appeal. ",1,"Certain employees who provide services considered essential—including prison guards and firefighters, but also workers in the oil sector—may not legally strike. Unions not associated with the MPLA have faced interference and harassment.In May 2022, police intervened in a strike over pay and working conditions at the construction site for a hydroelectric dam in Kwanza Norte Province, killing at least three workers. According to the NGO Friends of Angola, several other workers were injured, and some were illegally detained inside the facilities of the construction firm, China Gezhouba Group Corporation. The authorities accused the strikers of vandalizing equipment and threatening Chinese citizens. State media reported in June that the government had brokered a new contract between the two sides, though it was unclear whether the agreement was freely negotiated or properly implemented. ",1
antigua-and-barbuda,"Freedom of assembly is guaranteed under the constitution, and the government generally respects these rights in practice.",4,"The country’s few nongovernmental organizations (NGOs) are active, though inadequately funded and often influenced by the government. The NGO Women Against Rape was one of the plaintiffs in the successful 2022 case challenging the criminalization of same-sex relations.",3,"Labor unions can organize freely and bargain collectively. Workers providing essential services must give notice two weeks before intent to strike. However, the International Labour Organization (ILO) has described the list of essential services as excessively broad. Strikes are rare.",3
argentina,"Freedom of assembly is generally respected, and citizens frequently organize protests.",4,"Nongovernmental organizations (NGOs) generally operate without restrictions. Civic organizations, especially those focused on human rights and abuses committed under the 1976–83 dictatorship, play a major role in society, although some fall victim to corruption.",4,"Union influence remains significant, although it has decreased in recent years. Organized labor is dominated by Peronists, and most labor unions have been controlled by the same individuals or groups for decades. Internal opposition to union leadership has been limited by fraud and intimidation.",3
armenia,"The right to assemble is legally guaranteed but inconsistently upheld in practice.Frequent antigovernment protests took place throughout the country in 2022. In June, police used stun grenades to disperse protesters in Yerevan who were demanding Prime Minister Pashinyan’s resignation after a law proposed by opposition that would reject any peace accord with Azerbaijan failed to pass in Parliament. At least 42 people, including police officers, were injured in the clashes between police and protesters.In September 2022, relatives of soldiers who had been killed in the war with Azerbaijan peacefully protested during government-organized Independence Day events. Police violently detained at least 37 people, and some protesters were injured. In response, 35 local NGOs called for the resignation of the Yerevan chief of police.",3,"Outspoken NGOs operate in Armenia, most of which are based in Yerevan. These NGOs lack significant local funding and often rely on foreign donors. Despite this impediment, civil society was active in the 2018 protests, and has consulted with the government on policy matters, most notably on electoral, constitutional, and anticorruption reform.",3,"The law protects the rights of workers to form and join independent unions, strike, and engage in collective bargaining. However, these protections are not well enforced, and employers are generally able to block union activity in practice.",2
australia,"Freedom of assembly is not explicitly codified in law, but the government generally respects the right to peaceful assembly. There are some limited restrictions meant to ensure public safety, and some incidents of police using excessive force against protesters have been reported. Although public health measures imposed to stop the spread of COVID-19 in 2020 and 2021 constrained the right to assembly, these measures were progressively wound back in 2022. A series of violent protests against vaccination mandates and lockdown restrictions occurred in the country’s two largest cities, Sydney and Melbourne, in the second half of 2021.",4,"NGOs are generally free to form, function, and receive funding. Advocacy groups and charities are exempt from restrictions on donations by certain foreign entities, which were introduced in 2018.",4,"Workers can freely organize and bargain collectively, and trade unions actively engage in political debates and campaigns. However, strikes are only allowed when negotiating new union agreements, and may only pertain to issues under negotiation, although strikes and other forms of industrial action are not uncommon in Australia. Throughout 2022, the metropolitan train network of Sydney, Australia’s largest city, was frequently disrupted due to ongoing disputes between the rail union and the New South Wales state government.While there are no formal restrictions on workers’ rights to organize, in practice, policies from successive governments have contributed to plummetting union membership. By the end of 2022, only 12.5 percent of Australian workers were union members, compared to 41 percent in 1992.",4
austria,"Freedom of assembly is constitutionally protected and respected in practice. However, beginning in March 2020, assemblies were periodically subject to strict regulation under COVID-19-related public health measures. In March 2022, the government lifted most remaining restrictions, including limits on event sizes. Despite COVID-19-related restrictions on public gatherings, large protests against lockdown measures were held throughout 2020 and 2021. Demonstrations against COVID-19-related restrictions, including some against the government’s vaccine mandate, continued into 2022.",4,Nongovernmental organizations (NGOs) operate without restrictions.,4,"Trade unions are free to organize and to strike, and they are considered an essential partner in national policymaking. According to government statistics, some 1.2 million workers are members of trade unions.",4
azerbaijan,"The law imposes tight restrictions on freedom of assembly, which is contingent on the protection of “public order and morals.” Activists have complained that in practice, the obstacles to public gatherings include additional, extralegal measures. Unsanctioned assemblies can draw a harsh police response and fines for participants, and the government largely stopped issuing permits for rallies in Baku in 2019. Even when permits are issued, the government typically confines demonstrations to relatively isolated locations, where it can track attendees through facial-recognition technology and mobile-phone data.In May 2022, about 30 people were detained prior to a planned antigovernment protest, organized by activists in response to several incidents in which the rights of opposition politicians, journalists, and members of civil society had been violated.  Unlike in previous years, the police did not prevent a rally held by women’s rights activists on International Women’s Day in March. However, several participants reported that police mistreated LGBT+ activists and confiscated pro-LGBT+ flags and placards on the day of the march.",0,"Repressive laws on nongovernmental organizations (NGOs) have been used to pressure both local and foreign organizations, many of which have suspended operations when their bank accounts were frozen or their offices raided. Nearly all organizations or networks that work on human rights are forced by the state to operate in a legal gray zone. The government has refused to permit the European Union to provide grant support for local civil society groups. Civic activists are routinely subjected to harassment, intimidation, detention, and abuse by police.Activists also risk surveillance; a 2021 OCCRP report noted that over 40 Azerbaijani activists were likely targeted with Pegasus, along with family members.Several activists were arrested on spurious charges during 2022. Human rights defender Bakhtiyar Hajiyev was arrested on hooliganism charges in December; his lawyer called the charges “manufactured,” saying they were connected to his activism. More than 30 people were detained during a rally held in support of Hajiyev the same month, including prominent opposition activist Tofig Yagublu. Yagublu was convicted of “petty hooliganism” and “disobeying the police” the same day he was arrested. Both Hajiyev and Yagublu remained in detention at year’s end.",0,"Although the law permits the formation of trade unions and the right to strike, the majority of unions remain closely affiliated with the government, and many categories of workers are prohibited from striking. Most major industries are dominated by state-owned enterprises, in which the government controls wages and working conditions.",1
bahamas,"Freedom of assembly is constitutionally protected and is respected in practice.Prince William and Princess Catherine of the United Kingdom visited The Bahamas in March 2022; protesters called for reparations for slavery during that visit. In October, Lincoln Bain, leader of the Coalition of Independents, and eight supporters were arrested after police tried to move their protest away from the steps of Parliament, which the protesters allegedly resisted.",4,"Freedom of association is generally protected, and a variety of nongovernmental organizations (NGOs) operate in the country. A 2019 NGO registration law required NGOs to declare sources of contributions and donations and account for annual income and expenditures.",4,"Labor, business, and professional organizations are generally free from government interference. Unions have the right to strike, and collective bargaining is prevalent.",4
bahrain,"A permit is required to hold demonstrations, and a variety of onerous restrictions make it difficult to organize a legal gathering in practice. Participants can face long jail terms, particularly if the demonstrations involve clashes with security personnel. Police regularly use force to break up political protests, most of which occur in Shiite villages.In November 2022, during the visit by Pope Francis, a small protest was organized by families of prisoners on death row or facing life imprisonment; a spokesperson for the government confirmed that the protesters were asked to disperse and ultimately did so.",0,"Nongovernmental organizations (NGOs) are prohibited from operating without a permit, and authorities have broad discretion to deny or revoke permits. The government also reserves the right to replace the boards of NGOs. Bahraini human rights defenders and their family members are subject to harassment, intimidation, and prosecution. Many remained either in prison or in exile as of 2022.",0,"Bahrainis have the right to establish independent labor unions, but workers must give two weeks’ notice before a strike, and strikes are banned in a variety of economic sectors. Trade unions cannot operate in the public sector, and collective-bargaining rights are limited even in the private sector. Harassment and firing of unionist workers occur in practice. Domestic, agricultural, and temporary workers do not have the right to join or form unions.",1
bangladesh,"The constitution provides for the rights of assembly and association, but this is upheld inconsistently. Protesters are frequently injured and occasionally killed during clashes in which police use excessive force. While space for protests expanded in 2022, AL supporters and authorities targeted opposition rallies. In September, the European Union delegation to Bangladesh voiced concerns over clashes between BNP supporters and police that began in late August, some of which were fatal. In December, at least 1 person died and 60 were injured after police fired on BNP demonstrators at a Dhaka rally. Authorities then took two BNP leaders into custody for questioning, accusing them of provoking the violence.",2,"Many nongovernmental organizations (NGOs) operate without onerous restrictions, but the use of foreign funds is closely monitored, and the government has broad authority to deregister NGOs. Democracy, governance, and human rights NGOs are regularly denied permission for proposed projects and face harassment and surveillance. Pressure and intimidation from Islamist groups also limit NGO activities on some issues such as LGBT+ rights and protection for religious minorities.In April 2022, Human Rights Watch (HRW) reported that Bangladeshi authorities were retaliating against human rights advocates, their relatives, and the survivors of victims mistreated or killed by the RAB, which the US government sanctioned in 2021. In June 2022, the government revoked the registration of human rights NGO Odhikar, which documented human rights abuses in Bangladesh; the decision was upheld in September.",2,"Legal reforms in 2015 eased restrictions on the formation of unions. However, union leaders who attempt to organize or unionize workers continue to face dismissal or physical intimidation. Labor rights organizations also face harassment. Worker grievances fuel unrest at factories, particularly in the garment industry, where protests over wages and working conditions are common. Protesting workers often face violence, arrest, and dismissal.",1
