Country,Tekst,Skoor,Tekst2,Skoor2,Tekst3,Skoor3,Tekst4,Skoor4
afghanistan,"The IEA’s judiciary is structurally similar to the judiciary of the defunct republic. However, the branch was purged and is now staffed by Taliban and supporters who are considered sufficiently reliable by the regime. Women, meanwhile, are absent. The attorney general’s core responsibilities were stripped from that office by the regime.",0,"The Taliban do not recognize internationally accepted norms on due process. Their judges are supposed to operate under Hanafi jurisprudence instead of a clear code of procedure. Judges rely on confessions and uncorroborated witness testimony.In November 2022, Akhundzada issued a decree calling on judges and prosecutors to issue punishments consistent with the regime’s interpretation of Sharia. Later that month, reports emerged of people receiving corporal punishment for crimes including adultery, robbery, and corruption. Authorities administered whippings and amputations with little due process, as those facing corporal punishment were not allowed to employ counsel.",0,"While the Taliban have asserted their intention to restore security in Afghanistan after overthrowing the republic, the Afghan population remained acutely vulnerable to armed conflict and violence in 2022. The ISKP engaged in terrorist activity while the NRF continued to wage an insurgency in the north. However, the South Asia Terrorism Portal counted 1,653 terrorism-related deaths in 2022, far fewer than the 8,469 deaths reported in 2021. The ISKP claimed responsibility for attacks that killed or injured at least 700 people since the Taliban took power, according to HRW. In one of the attacks the ISKP launched in April, it used a remote explosive device to target a Shiite mosque in Mazar-e-Sharif, killing 31 people. It also launched several attacks during the Ashura holiday in August, with UNAMA reporting that 120 were killed or injured. In September, an ISKP suicide bomber targeted the Russian embassy in Kabul, killing at least six people. In December, ISKP fighters attacked a Kabul hotel, killing several people.The NRF continued to engage in armed resistance during the year. In affected areas, the regime has arbitrarily detained and summarily executed suspected collaborators and has engaged in collective punishment.In June 2022, the regime launched a military operation against a short-lived uprising by one of its commanders in a Hazara-majority district of Sar-e Pul Province. The regime’s operation was accompanied by mass displacement, collective punishment, and accusations of summary executions.While the regime claimed it was observing an amnesty announced in 2021, military personnel who served the republic were killed or disappeared during the year, suggesting a concerted campaign against perceived enemies sanctioned by the leadership and the GDI.Since retaking power, the Taliban have instituted corporal punishment with little due process. In December 2022, the regime held its first public execution. Taliban also used violence against those perceived as dissenters or those who otherwise resisted edicts, norms, or individual demands. In November, for example, a vice-and-virtue official killed a girl in Balkh Province for refusing a marriage proposal. Criminal violence is a regular occurrence. Perpetrators frequently benefited from Taliban protection or affiliation.",0,"The IEA operates without a unified civil or criminal code. There is no clarity on which republic-era laws still apply. Women face profound discrimination under the Taliban. Their employment opportunities have been severely curtailed; many women have been dismissed from public-sector and media-sector jobs. Restrictions on movement also impact women’s employment prospects, with the MVV working to enforce a ban on women using mass transit unaccompanied. The regime has also restricted girls’ and women’s access to education. In March 2022, it officially closed secondary schools for girls despite previous assurances that they would be reopened; Akhundzada reportedly vetoed the reopening of those schools. In December, the regime banned female students from higher education.The Taliban have engaged in discrimination against members of ethnic minority groups, particularly Tajiks, Hazaras, and Uzbeks. There is no legal protection for LGBT+ people, who face societal disapproval and discrimination from the Taliban. In a 2021 interview, a Taliban judge advocated for the execution of men who engage in same-sex activity. LGBT+ people trying to flee Afghanistan face financial and administrative obstacles; gender nonconforming Afghans who spoke to HRW for a report released in January 2022 said they feared visiting passport offices and internal checkpoints.",0
albania,"The constitution provides for an independent judiciary, but corruption remains a serious problem, underfunded courts are subject to political pressure and influence, and public trust in judicial institutions is low.In 2021, the Assembly adopted amendments to 10 laws in an effort to strengthen judicial efficiency. International governance bodies praised the subsequent reevaluation of judges and prosecutors via judicial vetting mechanisms. All priority cases had been reviewed by that September; more than 60 percent of all cases reviewed had resulted in dismissals “due to unexplained assets.” The vetting process continued in 2022; in April, Tirana chief prosecutor Elizabeta Imeraj was dismissed over concerns regarding her family’s assets.",2,"Constitutional guarantees of due process are upheld inconsistently. Trial procedures can be affected by corruption and are sometimes closed to the public. Although the state is supposed to offer free legal aid, legal counsel is not always provided to those who cannot afford their own. A number of local NGOs offer free legal aid for those affected.",2,"Reports of police abuse of detainees continue. Prison inmates suffer from poor living conditions and inadequate medical treatment. Drug-related crime remains a problem, as Albania is a transit country for heroin smugglers. Tribal law is practiced in parts of northern Albania, and sometimes involves revenge killings.",2,"The Roma community faces significant discrimination in education, health care, employment, and housing.A 2010 law bars discrimination based on race and several other categories, including sexual orientation and gender identity, and a 2013 reform of the criminal code introduced protections against hate crimes and hate speech based on sexual orientation and gender identity. A May 2022 pride parade in Tirana attracted significant support. However, anti-LGBT+ bias persists.Women are underrepresented in the workforce. Women living in rural areas have fewer opportunities for employment and education.",3
algeria,"The judiciary is susceptible to pressure from the civilian government and the military. Judges are appointed by the High Council of the Judiciary (CSM), which is headed by the president, although the 2020 constitutional reforms removed the justice minister and attorney general from the body. Two representatives of the judges’ union and the chair of the National Human Rights Council were added.Concerns regarding the judiciary’s independence persist despite these reforms. In 2021, the CSM expelled Sadedin Merzoug, a Hirak supporter, from the judiciary for expressing prodemocracy views, claiming that he had obstructed justice and violated his duty of confidentiality.",1,"The lack of judicial and prosecutorial independence often erodes the due process rights of defendants, particularly in politically sensitive cases against former officials or civic activists. Lengthy delays in bringing defendants to trial are common, and prosecutors’ requests to extend pretrial detention periods are typically granted. Security forces frequently conduct warrantless searches and engage in arbitrary arrests and short-term detentions. According to the National Committee for the Release of Detainees (CNLD), more than 300 political prisoners were being held as of April 2022, many in pretrial detention. In October 2022, Hirak activist Abdelhamid Bouziza was forcibly disappeared after being arrested by security forces. He was found 20 days later, in detention nearly 300 miles from where he was arrested. In a similar case, Slimane Bouhafs, an Algerian refugee in Tunisia, was abducted and forcibly disappeared by unidentified men in August 2021; he was located four days later in Algerian custody. Bouhafs was sentenced in December 2022 to three years in prison and a 100,000 dinar ($700) fine after being accused of ties to the MAK. The exact circumstances of his forced return to Algeria remained unclear.",1,"A 2006 reconciliation law gave immunity to Islamist and state perpetrators of serious crimes during the civil war, while compensating families of those who were subject to such crimes, which included forced disappearances. The reconciliation law also criminalized public discussion on the fate of the disappeared.Allegations of torture have decreased since the civil war’s end, but human rights activists still accuse the police of using excessive force and abusing detainees. In August 2022, pro-Hirak activist and whistleblower Mohamed Benhalima reported that he had been tortured in pretrial detention. Prison conditions are poor, with some inmates reportedly facing significant overcrowding and poor sanitation. Terrorist groups, including Al-Qaeda in the Islamic Maghreb (AQIM) and the Islamic State (IS) militant group, continue to operate in Algeria. However, attacks have grown less frequent in recent years.",2,"Officials have made gradual efforts to address the Amazigh community’s cultural demands. Tamazight, the Berber language, became a national language in 1995, allowing it to be taught officially in schools serving Amazigh areas. Tamazight received the status of an official language nationwide through a 2016 constitutional amendment, meaning it could be used in administrative documents. The 2020 constitutional revisions made it impossible to change the status of Tamazight as a national language. However, Arabic remains the prevailing language of government.The constitution guarantees gender equality, but women continue to face both legal and societal discrimination. Many women receive lower wages than men in similar positions, and there are few women in company leadership posts. Sexual harassment, while punishable with fines and jail time, is nevertheless common in workplaces. NGOs dedicated to women’s rights have become more vocal as part of the Hirak, calling for a renewed commitment to the constitutional promise of gender equality.LGBT+ people face discrimination and violence, and many LGBT+ activists have fled the country. Same-sex sexual activity is punishable with prison sentences as long as two years. LGBT+ Algerians face mistreatment at the hands of police and discrimination by health care providers and employers.About 175,000 Sahrawis from Western Sahara live in refugee camps near the border with Morocco. The camps have been present since 1975, in a remote desert region with limited job opportunities. About 90,000 of the residents are considered “vulnerable” by the Office of the UN High Commissioner for Refugees (UNHCR), as they rely on humanitarian assistance for food, water, and education.Sub-Saharan African migrants, including refugees and asylum seekers, are subject to racial discrimination in Algeria and are often arbitrarily arrested and deported from the country—or simply abandoned at the southern desert borders—without being given the opportunity to challenge the actions in court. In September 2022 alone, more than 1,500 sub-Saharan migrants were expelled from Algeria and left at the border with Niger.",2
andorra,"The judiciary is impartial and independent and is generally free from pressure from the government. Judges are appointed and supervised by the Higher Council of Justice; the two co-princes, the speaker of parliament, and the prime minister each select one of the council’s five members, and the fifth is elected by judges and magistrates.",4,"Defendants enjoy the presumption of innocence and the right to a fair trial, and due process is generally upheld in the criminal justice system. The constitution prohibits arbitrary arrest and imprisonment, but police can detain suspects for up to 48 hours without charge.",4,"Andorra is free from war and insurgencies, violent crimes rates are low, and law enforcement agents are not known to use excessive force against civilians. Prison conditions are adequate.",4,"Though the 2019 law on equal treatment and nondiscrimination focuses primarily on combating gender discrimination, it includes comprehensive protections against discrimination based on race, ethnicity, age, disability, sexual orientation, gender identity or expression, and other such categories. The legislation provides enforcement mechanisms, including fines, and also seeks to address a persistent gender pay gap, estimated to be as high as 40 percent in some sectors. A report published by a women’s rights organization in 2020 described ongoing problems including discrimination in the labor market and gender-based violence.Andorra provides temporary protection and services to refugees and asylum seekers, but no law allows the government to grant asylum or refugee status.",3
angola,The president appoints Supreme Court judges to life terms without legislative input. Corruption and political pressure from the MPLA contribute to the judiciary’s general inefficacy and undermine its independence.,1,"Constitutional guarantees of due process are poorly upheld. Many defendants are unable to afford legal counsel, and the state largely fails to provide qualified legal aid to those who need it. Arbitrary arrest and lengthy pretrial detention remain problems. Due process violations have been reported in recent cases involving political activists who seek autonomy or independence for the provinces of Cabinda and Lunda Norte.",1,"Security forces enjoy impunity for violent acts, including torture and extrajudicial killings committed against detainees, activists, protesters, and others. Angolan prisons are reported to be overcrowded, unhygienic, lacking in necessities, and plagued by sexual abuse. According to government statistics, violent crime, including robberies, assaults, and homicides, has increased in Luanda in recent years.The low-level separatist insurgency in Cabinda continues to pose a security threat. The Front for the Liberation of the Enclave of Cabinda (FLEC) claims to have engaged in guerrilla activity against Angolan soldiers, but the government typically does not confirm these claims.",1,"Women face discrimination in the workplace that makes it difficult for them to rise to senior positions. There have been reports of abuse of women and children who are accused of practicing witchcraft.In 2019 the parliament decriminalized same-sex sexual relations and banned discrimination based on sexual orientation, though enforcement is reportedly inadequate. There are no specific protections against bias based on gender identity.Seminomadic Khoi and San tribes in the country’s southern provinces have often suffered from neglect by the government and a lack of access to services, particularly in the context of prolonged droughts and the COVID-19 pandemic.Security forces allegedly harass and abuse immigrant communities, and the government has failed to adequately protect refugees and asylum seekers. UN representatives expressed concern about the forced expulsion of Congolese migrants in 2020, suggesting that it violated international directives on the treatment of refugees.",2
antigua-and-barbuda,"The constitution provides for an independent judiciary, which is generally respected by the government. In 2018, voters rejected in a referendum the adoption of the Caribbean Court of Justice as their highest appellate court. Thus, the Judicial Committee of the Privy Council, based in London, retains that role.In recent years, the courts have increasingly asserted independence from the ABLP government, with the support of the Eastern Caribbean Supreme Court.",4,"Constitutional guarantees of due process are mostly upheld. However, prisoners on remand often remain in jail for an average of three to four years before their cases are heard.",3,"Residents of Antigua and Barbuda do not face any significant security threats. However, in 2021 the number of homicides increased dramatically, with 16 homicides compared to 9 in 2020. Ten homicides were recorded in 2022. Gun-related crimes have also increased in recent years.Prisons are severely overcrowded, and conditions within them are poor. The occupancy rate as of September 2022 was 155 percent.",4,"The 2005 Equal Opportunity Act bars discrimination based on race, gender, class, political affinity, or place of origin. There are no specific laws prohibiting discrimination against people with disabilities. Mental health services require improvement and people with physical disabilities are stigmatized and underemployed. Societal norms discourage participation of women in some sectors of the economy, and few women hold leadership positions in businesses. In July 2022, the Eastern Caribbean Supreme Court ruled that elements of the country’s Sexual Offences Act were unconstitutional, effectively decriminalizing same-sex sexual relations. The court found that certain sections went against a person’s “right to liberty, protection of the law, freedom of expression, protection of personal property, and protection from discrimination on the basis of sex.” The court also held that a constitutional provision prohibiting sex discrimination also prohibits discrimination based on “gender identity, sexual character, and sexual orientation.” The court further ruled that “persons” must replace “a male person and a female person” in sections of the act defining intercourse.",3
argentina,"The Supreme Court is relatively independent and has resisted executive overreach. However, lower and province-level courts have close ties with political actors and engage in corrupt practices. Leaders of the ruling coalition frequently attack judicial rulings and accuse the courts of ideological bias. President Fernández continued to accuse the judiciary of political bias in 2022, including in December, after the Supreme Court effectively reversed a 2020 decree that had substantially cut the percentage of federal funds allocated to the opposition-led city of Buenos Aires. The president initially said he would not comply with the ruling, which restored funding to the capital city, but later agreed to accept it. After taking office, President Fernández and Vice President Fernández de Kirchner proposed legal reforms that, if enacted, could diminish judicial independence. The government has also tried to limit the independence of the body that names and removes judges.Numerous vacancies and interim appointments hinder the autonomy of the judiciary: one seat on the 5-member Supreme Court has been vacant since late 2021, the role of national ombudsperson has remained vacant for 13 years, and the position of chief prosecutor has been filled on a temporary basis since 2017.",2,"The right to due process is constitutionally protected and generally upheld. However, security officers and some judges are suspected of maintaining criminal ties. Prisons are overcrowded and inmates live in unsuitable conditions. Pretrial detainees represented 54 percent of the country’s prison population as of December 2022.In September, the attorney general’s office reported that a total of 1,088 convictions for crimes committed during the 1976–83 dictatorship had been attained since 2006.",3,"Argentina’s homicide rate is low compared to other Latin American countries, but violence from criminal groups and the security forces remains a serious issue. International criminal organizations use Argentina as an operational base and a transit route; the country’s northern and central regions are particularly affected. Drug-related violence has increased in recent years, especially in the port city of Rosario.Police misconduct, torture, and brutality against detainees is endemic. Arbitrary arrests and abuses by police are rarely punished in the courts, and police officers commonly collude with drug traffickers. In recent years, there have been violent clashes between security forces and Indigenous Mapuche activists in Argentina’s Patagonia region, as well as repeated confrontations between local residents and activists. Some activists have used violence to seize and occupy land.",2,"Argentina has robust antidiscrimination laws, but enforcement is uneven. Indigenous peoples, approximately 2.4 percent of the population, face government neglect, disproportionate levels of poverty, and poor access to services. Displays of xenophobia against migrants and race-based discrimination are common. Women enjoy legal equality, but continue to face economic discrimination and gender-based wage gaps.Argentina’s LGBT+ population enjoys full legal rights, including marriage, adoption, and the right to serve in the military. However, LGBT+ people do face some degree of societal discrimination, and occasionally, serious violence.",3
armenia,"The courts face systemic political influence, and judicial institutions are undermined by corruption. Judges reportedly feel pressure to work with prosecutors to convict defendants, and acquittal rates are extremely low. The government published a five-year judicial-reform strategy in 2019; reforms continued to be enacted in 2022, though progress has been slow.In July 2022, the acting head of Supreme Judicial Council (SJC) resigned after a recording leaked in which he threatened then-head of the SJC with criminal charges if the latter refused to resign. In October, to new SJC members were elected by the ruling faction, including a former minister of justice who had also been a member of the ruling party. The election was viewed as politically motivated.",1,"Authorities apply the law selectively, and due process is not guaranteed in civil or criminal cases. Lengthy pretrial detention remains a problem, and the Armenian judiciary is largely distrusted by the public.The raft of corruption investigations aimed at HHK elites and allies have prompted concerns about the ability of the country’s judicial and investigative mechanisms to ensure fair application of the law.",1,"Reports of police abuse of detainees and poor conditions in prisons persist. After the change in government in 2018, law enforcement agencies renewed dormant investigations into past cases of physical violence by police. Conditions in areas adjacent to Azerbaijan and Nagorno-Karabakh, an ethnic Armenian-majority territory that previously gained de facto independence from Azerbaijan in 1994, have declined following the 2020 military conflict in the region. Civilians in the region remain at risk of experiencing physical violence. In September 2022, Azerbaijani military forces entered Armenian territory. The escalation of the ongoing military conflict killed over 200 and injured more than 293 Armenian soldiers. Three civilians were killed, and 20 soldiers were taken as prisoners of war. Official reports included credible evidence that Azerbaijani troops had committed war crimes. Civilian settlements and buildings Syunik, Gegharkunik and Vayots Dzor provinces were also targeted, causing significant damage and displacing thousands of civilians. While active hostilities lasted two days, the subsequent ceasefire has been regularly violated. Dozens of Armenian prisoners of war reportedly remained in Azerbaijani custody in 2022. Some were reportedly tortured while in detention.",1,"Women reportedly face discrimination in employment and education, despite legal protections. Although same-sex sexual activity was decriminalized in 2003, LGBT+ people continue to face violence and mistreatment at the hands of police and civilians. In 2022, several cases of attacks on trans women and public calls for violence against LGBT+ people were reported.Under the new criminal code implemented in 2022, individuals who commit crimes based on sexual orientation and gender identity may be held criminally liable.",2
australia,"The Australian judiciary is generally independent, although a  lengthy investigation in 2019 by independent media outlet Crikey revealed that the Liberal-National government consciously worked to install individuals affiliated with the Liberal Party—including former candidates, donors, and party members—to the Administrative Appeals Tribunal (AAT), a body that reviews the merits of administrative decisions by government agencies. Just prior to the 2022 election, the Morrison government extended the terms of a number of Liberal Party–affiliated members of the AAT for periods of up to seven years, even though many of these members had over a year left in their existing terms. The Albanese government announced in December 2022 that the AAT would be abolished and replaced by a new merits review body in 2023.	The judiciary, particularly in the higher-level courts, tends to lack diversity among its members, and many appointed judges come from prominent legal families.",4,"The right to due process is generally respected. Defendants and detainees are presumed innocent until proven guilty and can only be held for 24 hours without being charged for a crime, with exceptions for terrorism cases.People living in rural areas, and in particular Aboriginal people, face significant barriers to accessing the justice system. Judges, lawyers, and prosecutors must be flown into remote communities, providing little time to prepare cases or be briefed by clients. Courtrooms are often in ad hoc, repurposed buildings, and lengthy case dockets are a prominent issue. Judges traveling these circuits work large caseloads due to understaffing and underfunding, which could impact their health and their court decisions. Significant case backlogs cause individuals to wait years for their cases to be heard, which can place some, like those who have experienced domestic violence, in further danger.Authorities shifted court proceedings to be held online during the COVID-19 pandemic, which has led to increased availability of court and registry services and resources. The greater flexibility offered by virtual hearings and services has, to a degree, increased access to the justice system in rural areas.",4,"Australia provides protection from the illegitimate use of force, and Australians have means to seek redress for harm. Prison conditions mostly meet international standards. However, conditions at numerous juvenile detention centers are substandard. Some children have instead been detained in adult prisons. In 2019, an Australian Broadcasting Corporation (ABC) investigative program reported on the practice of placing minors in “watch houses,” maximum security facilities usually reserved for violent adult offenders.",4,"First Nations Australians continue to lag behind other groups in key social and economic indicators; suffer higher rates of incarceration; and report routine mistreatment by police and prison officials. Aboriginal and Torres Strait Islander children are placed in detention at a rate 22 times higher than that of non-Aboriginal children. Additionally, people with disabilities make up almost one-third of the prison population, and face harassment and violence in prisons.Men and women have the same legal rights, and discrimination based on sexual orientation or gender identity is prohibited. In practice, women and LGBT+ people experience employment discrimination and harassment. Religious exemptions within the Sex Discrimination Act of 1984 allow for the expulsion of students and dismissal of teachers on the basis of their sexual orientation, although these exemptions are rarely invoked. Australia’s harsh asylum and immigration policies continued to be enforced in 2022. The government announced in October 2021 that it would cease detaining asylum seekers in Papua New Guinea (PNG) by December, transferring the refugees there either to its other offshore detention facility in Nauru—which is characterized by poor living conditions, inadequate safety for women and children, and a lack of sufficient healthcare and education services—or to the Papuan government. As of September 2022, approximately 111 refugees were in detention on Nauru. Asylum seekers can wait years for their applications to be processed; in one severe case, a man seeking asylum from Sri Lanka who fled to Australia in 2009 was still being held in immigration detention through at least the end of 2020. The Albanese government had indicated in its election campaigning that it would grant eligible refugees permanent visa status, and abolish Temporary Protection Visas (TPVs) and Safe Haven Enterprise Visas (SHEVs), which expired after three years and five years, respectively. In December 2022, the Albanese government announced that in early 2023, 19,000 refugees would be transitioned to permanent protection visas, granting them rights to social security and reunion with family members.",3
austria,"The judiciary is independent, and is generally held in high regard among Austrians. The Constitutional Court examines the compatibility of legislation with the constitution without political influence or interference. Austrian judges are appointed by the executive instead of a politically independent body, which the CoE has criticized as an insufficient separation of the state government from the judiciary. In recent years, ÖVP officials have drawn criticism for allegedly attempting to obstruct judicial investigations into corruption allegations involving ÖVP politicians.",4,"Due process generally prevails in civil and criminal matters. However, scandals involving Austria’s intelligence apparatus in recent years raised concerns about the potential politicization of the justice system, and respect for due process.",4,"People in Austria are generally free from the illegitimate use of physical force, war, and insurgencies. However, terrorist threats are a concern, and counterterrorism agencies have been found to “lack sufficient capacity” to adequately address existing risks. The number of right-wing extremist crimes reported in Austria rose sharply during the COVID-19 pandemic, peaking in 2021 with more than 1,000 such crimes reported. In April 2022, security forces seized Nazi memorabilia and illegal weapons stockpiles from far-right groups while conducting raids across the country.Conditions in prisons generally meet high European standards.",4,"Some groups face difficulty exercising their human rights before the law. Strong rhetoric has been directed against refugees and migrants in recent years. Some asylum seekers can be deported while appeals are pending. In recent years, international organizations have criticized the Austrian asylum system for failing to meet international standards. Continuing deportations during the COVID-19 pandemic and, in 2022, ÖVP attempts to exclude asylum seekers from receiving certain forms of state aid have led to conflict between the coalition partners.LGBT+ people face some societal discrimination. Although hate crime legislation prohibits incitement based on sexual orientation, no law prohibits service providers from denying services on that basis. In May 2022, the government amended blood donation regulations, removing restrictions that had previously prevented gay and bisexual men from donating blood.Despite some improvement, gender equality remains an issue in Austria. According to Eurostat, Austria’s gender wage gap of nearly 19 percent is among the largest in the EU.Several members of Austria’s armed forces have faced disciplinary proceedings and criminal charges in recent years for allegedly engaging in far-right extremist activities. In late 2022, government officials promised to pursue legal reforms mandating the automatic dismissal of any public employee convicted of violating the ban on the use of Nazi symbols.",3
