Country,Tekst,Skoor,Tekst2,Skoor2,Tekst3,Skoor3,Tekst4,Skoor4
afghanistan,"The regime places significant restrictions on individual movement, especially on women. Women must be accompanied by a chaperone for long-distance domestic travel and travel abroad. In March 2022, airline officials reported that unaccompanied women were removed from flights.Authorities have used checkpoints to regulate internal movement and are known to engage in intrusive searches of travelers. Taliban reportedly search for known or perceived opponents of the regime at checkpoints, checking travelers’ mobile phones and social media activity.The regime rationed access to passports in 2022 in an effort to restrict emigration. It stopped issuing passports in October. The Taliban maintained a quota of passports for its own members, while others paid bribes and sought travel documents on the black market.Internal displacement remains a significant problem. The Office of the UN High Commissioner for Refugees reported that 3.5 million Afghans were internally displaced at the end of 2022.",0,"The Taliban have historically promised to respect existing property rights and provide enough security to allow for investment. However, the Taliban continued a pattern of property expropriation and extortion directed at the those affiliated with the defunct republic. Traders have complained of being driven out of business by arbitrary tax assessments. In some provinces, armed gangs have kidnapped and stolen from targets perceived as wealthy; these gangs are protected by the authorities. The Taliban have signaled that they would assert state ownership of land based on prerevolutionary records, effectively nullifying four decades’ worth of transactions.",1,"The Taliban ended the limited formal protections from domestic violence offered by the republic. Shelters for survivors of gender-based violence were closed by the Taliban and individuals who were convicted of such violence were among those released by the Taliban during their 2021 takeover.The MVV has restricted the social freedoms of Afghans. Women are obliged to adopt Islamic dress as defined by the regime. Men, especially civil servants, were ordered to grow full beards and avoid “westernized” hairstyles or dress. However, enforcement is reportedly inconsistent.Customary practices, including child marriage, the forced marriage of young girls to older men, and of widows to their husbands’ male relatives, continue to restrict women’s choices regarding marriage and divorce.",0,"The economic and governance crisis associated with the Taliban takeover intensified poverty and heightened Afghans’ vulnerability to exploitation, while weakening safeguards. Aid agencies fear that as many as 120,000 children have been bartered or sold into marriage in the first eight months of the new regime’s rule.Food insecurity is pervasive; in May 2022, the WFP reported that 92 percent of Afghans do not eat enough food. Women and people living with disabilities were especially affected. Child labor has reportedly increased as Afghan families grapple with the country’s economic crisis, with more children working in the mining sector.",1
albania,"Albanians generally enjoy freedom of movement, though criminal activity and practices related to historically predominant honor codes limit these rights in some areas. People are generally free to change their place of residence or employment. Access to government documents is affected by bribery.",3,"Numerous property restitution cases related to communist-era confiscations remain unresolved. Illegal construction is a major problem, as is bribery linked to government approval of development projects. Women continue to face serious challenges to fair and equal property inheritance from parents as well as when divorcing their husbands.",2,"The government generally does not place explicit restrictions on social freedoms, though same-sex marriages are not recognized. Domestic violence is widespread. Police are poorly equipped to handle cases of domestic violence or spousal rape, which is often not understood to be a crime.",2,"Albania has relatively robust labor laws but lacks the capacity to enforce workplace safety and other protections. Conditions in the manufacturing, construction, and mining sectors are often substandard and put workers at risk. While Albania continues to struggle with human trafficking, authorities are proactive in addressing the issue. In recent years, the government has cooperated with civil society leaders, creating an advisory board on trafficking and increasing victim assistance in criminal proceedings.",2
algeria,"While most citizens are relatively free to travel domestically and abroad, the authorities closely monitor and limit access to visas for non-Algerians. Men of military draft age cannot leave the country without official consent. The land border between Algeria and Morocco remains closed. Police reportedly limit the movement of sub-Saharan African migrants attempting to reach the Mediterranean coast. Married women younger than 18 must obtain the permission of their husbands to travel abroad.The government has at times banned Algerian diaspora activists from leaving the country. At least three Algerian-Canadian activists were temporarily prevented from leaving in 2022. All three were interrogated about their potential links to the Hirak, but were later able to return to Canada.",2,"The government plays a dominant role in the economy, leaving little room for private competitors. Cronyism is also a major obstacle to private enterprise, with businesspeople who are not aligned with the regime often facing harassment by the authorities. Numerous regulations and their flawed implementation make Algeria one of the most difficult environments in the world in which to establish and operate a business. Inheritance rules favor men over women.",2,"Women do not enjoy equal rights in marriage and divorce under the family code, which is based on Islamic law. Among other provisions, women must obtain a male guardian’s permission to marry, and the father is the legal guardian of his children. No law addresses spousal rape.Domestic violence is common, and the laws against it are weak; for example, cases can be dropped if the victim forgives the alleged abuser. Women’s rights groups report that between 100 and 200 women are killed in domestic abuse incidents each year.",2,"The weak rule of law, government involvement in the economy, and bureaucratic obstacles pose major barriers to economic opportunity and social mobility. Laws against unsafe or abusive working conditions are poorly enforced.A 2009 law criminalized all forms of trafficking in persons, and Algeria reported its first conviction under the law in 2015. In recent years, the government has made an effort to enforce the ban through prosecutions and has provided protection for victims, though not systematically. Undocumented sub-Saharan African migrants are particularly susceptible to trafficking, including through debt bondage and sexual exploitation.",1
andorra,"There are few restrictions on freedom of movement, and people are generally free to change their place of residence, employment, and education. The government imposed temporary restrictions on travel and internal movement during 2020 in response to the COVID-19 pandemic.",4,"The legal and regulatory framework is generally supportive of property rights and entrepreneurship, and there are few undue obstacles to private business activity in practice.",4,"Personal social freedoms are generally respected, though there are some restrictions for same-sex couples. In July 2022, the government adopted a comprehensive new family code that legalized civil marriage for same-sex couples, set to enter into force in 2023. However, in December, Andorra’s Constitutional Court deemed the code’s distinction between canonical and civil marriage to be discrimination “on the basis of religious convictions” and thus unconstitutional, meaning that parts of the law must be amended before entering into force. Among other things, the new law also permits no-fault divorce and allows transgender people to change their name and gender on legal documents.Domestic violence is prohibited by law and punishable with prison sentences; the government pursues domestic violence cases and provides resources for victims. Nevertheless, such violence remains a serious problem, and sometimes involves violence against children. The CoE’s 2020 report on Andorra’s implementation of the Istanbul Convention—a treaty on preventing and combating violence against women and domestic violence—listed a number of shortcomings in the collection of data and the support system for victims of sexual violence.Andorra remains one of the few countries in Europe where abortion is completely prohibited, with penalties for both doctors and patients who undergo the procedure. Abortion is relatively accessible in neighboring France and Spain, though this option can be expensive for Andorrans.",3,"Andorran laws provide protections for most workers, including migrant workers. However, temporary workers must leave the country when their employment contract expires, exposing those with expired contracts to potential abuse by employers. The Labor Inspections Office is proactive in addressing violations of workers’ rights.A 2019 report from the CoE’s Group of Experts on Action against Trafficking in Human Beings (GRETA) found that Andorra had made legislative and policy progress on combating trafficking but called on authorities to scrutinize high-risk sectors for possible victims and raise awareness of the threat among law enforcement bodies. Confirmed cases of trafficking have been rare in practice.",4
angola,"Several organizations have been working to remove land mines that were placed during Angola’s 1975–2002 civil war. The mines inhibit agriculture, construction, and freedom of movement, particularly in rural areas.There have been reports by local NGOs that the authorities and private security groups guarding Lunda Norte Province’s diamond mines restrict the movements of local residents.The process for securing entry and exit visas remains difficult and mired in corruption. Bribes are frequently required in order to obtain employment and residence.",1,Predatory elites tend to either disrupt or co-opt emerging new businesses. Authorities have at times expropriated land and demolished homes without providing compensation. Customary law practices can leave women with unequal inheritance rights.,1,"While residents enjoy some freedom with respect to personal status issues like marriage and divorce, child marriage remains common, particularly in rural areas. Same-sex marriage is not recognized. Domestic violence is widespread in Angola, and perpetrators are rarely prosecuted.",1,"Public oil revenues are not equitably distributed or used to benefit the entire population. Rural regions in particular have inadequate infrastructure and access to services, leading to inequities in economic opportunity.Child labor is a major problem, and foreign workers are vulnerable to sex trafficking and forced labor in the construction and mining industries. The authorities have failed to effectively investigate human trafficking or prosecute offenders.",0
antigua-and-barbuda,"Individuals enjoy freedom of movement, including the ability to change their place of residence, employment, or education.",4,"Many Barbudans forced to evacuate the island due to Hurricane Irma in 2017 opposed moves by lawmakers in Antigua to eliminate the communal land ownership system that governed the island for almost two centuries, and instead establish private land ownership.The development of a multimillion-dollar private resort on Barbuda has driven tensions between the Browne government and Barbudan population and their representatives, who are concerned about the environmental impacts of the development. The Browne government has threatened those who attempt to obstruct the plans with jail time. In June, Antigua and Barbuda’s final appellate court, the UK-based Privy Council, rejected a challenge to the Paradise Found Act 2015, which the appellants argued violated their constitutional right of “protection from deprivation of property” and infringed on communal land rights in Barbuda.",3,"The Domestic Violence Act of 2015 strengthened punishments for perpetrators of domestic violence and laid out a process for victims to obtain an order of protection. However, domestic violence remains a serious problem. In October, Antigua’s House of Representatives passed the Sexual Offenders Registry Bill, enacting increased monitoring of sex offenders and facilitating the sharing of information among jurisdictions. Debate on the bill involved balancing concerns between protecting victims and allowing for the rehabilitation of remorseful offenders.Same-sex marriage and civil partnerships are not recognized.",3,"Antigua and Barbuda is a destination and transit country for the trafficking of men, women, and children for the purposes of forced labor and sexual exploitation. Government efforts to address the problem are inadequate, but progress is being made, according to the US State Department’s 2022 Trafficking in Persons report. Compulsory labor is prohibited by law.In May 2022, the government ratified the ILO’s Violence and Harassment Convention. The document recognizes the right to go to work without experiencing violence and harassment with an emphasis on abuses experienced by women in the workplace, a well as the effects of domestic violence on women’s ability to work.",3
argentina,"The government generally respects citizens’ constitutional right to travel both inside and outside of Argentina. People are free to change their place of education or employment.Argentina implemented one of the world’s strictest and most prolonged COVID-19 lockdowns. Bans and restrictions on domestic and international travel were sometimes arbitrary and gave way to abuses; security officers used disproportionate force to enforce measures. Almost all COVID-19-related restrictions were lifted in September 2021, including border controls. The government continued to ease remaining travel restrictions during 2022.",4,"Citizens generally enjoy the right to own property and establish private businesses. Economic instability, cumbersome regulations, and corruption affect the private sector at all levels.Approximately 70 percent of the country’s rural Indigenous communities lack titles to their lands, and forced evictions, while technically illegal, still occur. Indigenous communities continue to struggle to defend their land rights and reclaim traditional lands.",3,"Argentinians enjoy broad freedom regarding marriage and divorce. Same-sex marriage and adoption by same-sex couples were legalized in 2010. A 2012 gender-identity law allows people to legally change their gender.Gender-based violence remains a serious problem. The ombudsperson’s office reported 242 femicides in 2022. Abortion was legalized up to the 14th week of pregnancy in 2020, a landmark decision in Latin America.",4,"Argentina faces high poverty rates aggravated by high inflation. In the first half of 2022, the poverty rate was 36.5 percent, with 8.8 percent of people living in extreme poverty.Forced labor is high in sectors such as garment and brick production, agriculture, and domestic work. At least half of the workforce is informally employed and lacks labor rights and legal protections. Sex trafficking is a serious concern, and efforts to combat it have been hindered by corruption and the complicity of some officials, according to the US State Department’s 2022 Trafficking in Persons Report.",3
armenia,"The law protects freedom of movement and the rights of individuals to change their place of residence, employment, and education. In practice, access to higher education is somewhat hampered by a culture of bribery. Effects of the conflict over Nagorno-Karabakh have continued into 2022, continuing to constrain freedom of movement along some border areas. After the November 2020 ceasefire, Azerbaijani forces took control over a 21-kilometer (13-mile) stretch of the Goris-Kapan highway, the only major road connecting the Syunik region to the rest of Armenia, partitioning villages and affecting residents’ ability to move freely. In November 2021, Azerbaijani forces built new checkpoints along the road. Azerbaijani forces continued to occupy Armenian territory in 2022 and have frequently acted to impede the internal movement of Armenian residents, using threat of force against civilians to exert control. In September, Azerbaijani forces launched another military offensive, killing hundreds of soldiers and three civilians, and destroying infrastructure in the Syunik region.",2,"Armenian law adequately protects property rights, though officials have not always upheld them in the past. Economic diversification and simpler regulations have increased the ease of doing business in recent years, but a lack of transparency and persistent cronyism created unfair advantages for those with ties to public officials during the HHK government’s tenure. However, much of this has subsided since the 2018 change in government. Numerous incidents of burning pastures and farms, as well as theft of cattle, were reported after the escalation of the militarized conflict and the entry of Azerbaijani troops into Armenia in September 2022.",3,"The constitution defines marriage as a union between a man and a woman. Domestic violence is common and not adequately prosecuted, and services for victims are inadequate. A new law on domestic violence that took effect in 2018 placed an emphasis on “restoring family harmony,” raising concerns that it would deter victims from leaving dangerous situations. In 2019, the government introduced amendments to remove that reference and expand the definition of what constituted domestic violence. In early January 2020, a women’s rights activist reported that police became more responsive to domestic violence cases after the law’s introduction.The HHK government signed the Istanbul Convention, a Council of Europe (CoE) document that binds participating countries to bolster their efforts to combat violence against women, in 2018. While the government has not yet ratified the Istanbul Convention, the parliament did approve the ratification of the Lanzarote Convention, a CoE document that requires signatories to address sexual violence against children, in May 2020. The July 2022 criminal code includes more significant protections for survivors of gender-based violence (GBV).",2,"Legal protections against exploitative or dangerous working conditions are poorly enforced, and about half of workers are employed in the informal sector, where they may be more exposed to such conditions. Armenians are subjected to sex and labor trafficking abroad, and some children in the country work in agriculture and other sectors. Children residing in care institutions face a particularly heightened risk of trafficking. According to the US State Department, the government does not fully meet the minimum standards for the elimination of trafficking but is making significant efforts to do so.",2
australia,"The government respects freedom of movement, and neither state nor nonstate actors interfere with the choice of residence, employment, or institution of higher education.In response to the coronavirus pandemic in 2020 and 2021, some state and territory governments periodically closed their internal borders. The process to obtain an exemption for traveling between states was difficult and often significantly delayed. Some people who rely on services including employment or health care across state borders were unable to access these services due to the closures. Some states closed their borders with little notice, and some jurisdictions with lower rates of COVID-19 transmission, particularly Queensland and Western Australia, maintained a hardline stance on internal borders throughout 2021, despite low transmission rates of the virus and high vaccination rates. Queensland reopened its borders to interstate and international travelers in January 2022, and Western Australia followed suit in March, and since then, no state or territory has reimposed pandemic-related border closures in response to the pandemic.",4,"With an open and free market economy, businesses and individuals enjoy a high level of economic freedom and strong protections for property rights.",4,"The government generally does not restrict social freedoms. In 2017, Parliament legalized same-sex marriage following a nationwide, nonbinding postal survey in which more than 60 percent of participants favored legalization. Same-sex couples have also won the right to adopt children at the state level, with the Northern Territory becoming the last state or territory to legalize LGBT+ adoption in 2018. Discrimination based on gender identity was prohibited under a 2013 amendment to the Sex Discrimination Act of 1984.Gender-based violence (GBV) remains a national concern, particularly for Aboriginal and Torres Strait Islander women. In addition, women who kill domestic abusers in self-defense are often jailed, with Aboriginal and Torres Strait Islander women representing the majority of this incarcerated group. In November 2022, the New South Wales state parliament passed a law criminalizing coercive control in intimate partner relationships, with penalties of up to seven years in prison. Abortion law is decided by state and territory governments. New South Wales was the last state to decriminalize abortion in 2019. In some states there is no access to abortion through public health systems despite its legality, forcing people in those areas to seek assistance from private providers.",4,"Australians generally enjoy robust economic opportunities and freedom from exploitation. However, Aboriginal and Torres Strait Islander people continue to face economic hardship; census data from 2016 revealed that employment rates in remote areas declined since 2006, impeding their upward social mobility. In 2018, Parliament passed the Modern Slavery Act, requiring large businesses to be more transparent about potential slavery in their supply chains and to make efforts to address the problem. While the law has been largely viewed favorably, some critics have noted that it fails to impose penalties for noncompliance.",3
austria,"Austrian citizens generally enjoy freedom of movement. However, restrictions were periodically imposed between March 2020 and March 2022 to curb the spread of COVID-19.Roma and other ethnic minorities face discrimination in the labor and housing markets. The Labor Ministry has sought to promote integration of younger immigrants by providing German-language courses and job training.",4,Austrians may freely exercise the right to own property and establish businesses.,4,"Same-sex marriage became legal in Austria in 2019. Restrictions on same-sex couples adopting children ended in 2016.The 2009 Second Protection Against Violence Act increased penalties for perpetrators of domestic violence and authorized further punitive measures against chronic offenders. However, gender-based violence remains a problem; Austria has one of the highest rates of femicide in the EU.",4,"A 1979 law guarantees women’s freedom from discrimination in various areas, including the workplace.In June 2022, Austrian police announced that an antitrafficking investigation had uncovered a large-scale labor trafficking operation in which more than 230 Iraqi asylum seekers had been forced to work in illegal conditions and subjected to systematic wage theft.",3
